2021.4.19 10:12:41:236   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.04, -0.02, -0.01)  rightControllerVel:(0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:247   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.04, -0.02, -0.01)  rightControllerVel:(0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:259   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.05, -0.02, -0.01)  rightControllerVel:(0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:271   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.05, -0.02, -0.01)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:280   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.06, -0.02, -0.01)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:291   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, -0.03, -0.01)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:302   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, -0.03, -0.01)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:314   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, -0.02, -0.01)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:326   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, -0.02, -0.02)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:336   leftController:(0.23, 1.19, 0.49)  rightController:(0.11, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, -0.01, -0.02)  rightControllerVel:(0.05, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
