2021.4.19 15:53:00:760   leftController:(0.16, 1.12, 0.41)  rightController:(-0.23, 1.11, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.22)  leftControllerVel:(0.09, -0.19, -0.01)  rightControllerVel:(-0.01, -0.13, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:771   leftController:(0.16, 1.11, 0.41)  rightController:(-0.23, 1.11, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.22)  leftControllerVel:(0.09, -0.18, -0.01)  rightControllerVel:(-0.01, -0.11, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:782   leftController:(0.16, 1.11, 0.41)  rightController:(-0.23, 1.11, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.09, -0.16, -0.01)  rightControllerVel:(-0.02, -0.11, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:793   leftController:(0.16, 1.11, 0.41)  rightController:(-0.23, 1.11, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.09, -0.15, -0.02)  rightControllerVel:(-0.02, -0.10, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:804   leftController:(0.16, 1.11, 0.41)  rightController:(-0.23, 1.11, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.08, -0.14, -0.02)  rightControllerVel:(-0.04, -0.11, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:815   leftController:(0.16, 1.11, 0.41)  rightController:(-0.23, 1.11, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.07, -0.13, -0.03)  rightControllerVel:(-0.05, -0.11, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:826   leftController:(0.16, 1.11, 0.41)  rightController:(-0.24, 1.11, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.07, -0.13, -0.03)  rightControllerVel:(-0.06, -0.12, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:837   leftController:(0.16, 1.10, 0.41)  rightController:(-0.24, 1.11, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.06, -0.12, -0.03)  rightControllerVel:(-0.08, -0.13, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:848   leftController:(0.16, 1.10, 0.41)  rightController:(-0.24, 1.10, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.06, -0.11, -0.03)  rightControllerVel:(-0.09, -0.13, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:860   leftController:(0.16, 1.10, 0.41)  rightController:(-0.24, 1.10, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.05, -0.10, -0.03)  rightControllerVel:(-0.09, -0.14, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
