2021.4.19 10:36:13:577   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.05, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:588   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.03, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:599   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.02, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:610   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:621   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:634   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, -0.03, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:644   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, -0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:655   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, -0.06, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:666   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.02, -0.06, 0.02)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:678   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.07, 0.02)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
