2021.4.19 15:31:08:611   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.04, -0.07, 0.00)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:623   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.05, -0.07, 0.00)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:633   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.06, -0.08, 0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:644   leftController:(0.23, 0.91, 0.12)  rightController:(0.01, 0.66, 0.04)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.07, -0.09, 0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:659   leftController:(0.24, 0.90, 0.12)  rightController:(0.01, 0.66, 0.04)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.08, -0.10, 0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:666   leftController:(0.24, 0.90, 0.12)  rightController:(0.01, 0.66, 0.04)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.08, -0.10, 0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:677   leftController:(0.24, 0.90, 0.12)  rightController:(0.01, 0.66, 0.04)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.09, -0.10, 0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:689   leftController:(0.24, 0.90, 0.12)  rightController:(0.01, 0.66, 0.04)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.09, -0.10, 0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:700   leftController:(0.24, 0.90, 0.12)  rightController:(0.01, 0.66, 0.04)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.09, -0.10, 0.01)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:713   leftController:(0.24, 0.90, 0.12)  rightController:(0.01, 0.66, 0.04)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.51, -0.09)  leftControllerVel:(0.09, -0.09, 0.00)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
