2021.4.12 11:36:39:692   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.28)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:704   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.28)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:714   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:726   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.02, 0.01, 0.00)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:739   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.03, 0.01, 0.00)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:748   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.03, 0.01, 0.00)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:761   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.04, 0.01, 0.00)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:771   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.05, 0.01, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:782   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.05, 0.01, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:792   leftController:(0.25, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.05, 0.00, 0.01)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
