2021.4.12 15:01:55:493   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:514   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:537   leftController:(0.49, 1.26, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(0.00, -0.04, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:547   leftController:(0.49, 1.25, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(0.00, -0.05, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:559   leftController:(0.49, 1.25, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(0.01, -0.07, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:570   leftController:(0.49, 1.25, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(0.02, -0.08, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:581   leftController:(0.49, 1.25, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(0.02, -0.10, 0.02)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:593   leftController:(0.49, 1.25, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(0.03, -0.12, 0.02)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:604   leftController:(0.49, 1.25, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.20)  leftControllerVel:(0.03, -0.13, 0.02)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:615   leftController:(0.49, 1.25, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.03, -0.14, 0.02)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:626   leftController:(0.49, 1.25, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.03, -0.16, 0.02)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:637   leftController:(0.49, 1.24, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.03, -0.17, 0.02)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:649   leftController:(0.49, 1.24, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.02, -0.19, 0.02)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
