2021.4.12 11:13:10:233   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.37, 0.06)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.06, -0.08, 0.02)  rightControllerVel:(-0.02, -0.30, 0.36)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:243   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.37, 0.06)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.07, -0.10, 0.03)  rightControllerVel:(-0.01, -0.34, 0.40)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:255   leftController:(0.33, 1.12, 0.13)  rightController:(-0.05, 1.37, 0.06)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.08, -0.11, 0.03)  rightControllerVel:(0.00, -0.38, 0.43)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:266   leftController:(0.34, 1.12, 0.13)  rightController:(-0.05, 1.36, 0.07)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.08, -0.12, 0.04)  rightControllerVel:(0.01, -0.40, 0.45)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:280   leftController:(0.34, 1.11, 0.13)  rightController:(-0.05, 1.35, 0.08)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.08, -0.13, 0.04)  rightControllerVel:(0.03, -0.45, 0.48)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:292   leftController:(0.34, 1.11, 0.13)  rightController:(-0.05, 1.35, 0.08)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.08, -0.14, 0.04)  rightControllerVel:(0.05, -0.49, 0.50)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:299   leftController:(0.34, 1.11, 0.13)  rightController:(-0.05, 1.35, 0.09)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.08, -0.15, 0.04)  rightControllerVel:(0.06, -0.51, 0.51)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:311   leftController:(0.34, 1.11, 0.13)  rightController:(-0.05, 1.34, 0.09)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.08, -0.15, 0.05)  rightControllerVel:(0.06, -0.54, 0.52)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:322   leftController:(0.34, 1.11, 0.14)  rightController:(-0.05, 1.33, 0.10)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.09, -0.16, 0.05)  rightControllerVel:(0.07, -0.59, 0.52)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:333   leftController:(0.34, 1.11, 0.14)  rightController:(-0.05, 1.32, 0.10)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.10, -0.17, 0.05)  rightControllerVel:(0.08, -0.64, 0.53)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
