2021.4.7 14:33:30:953   leftController:(0.22, 1.17, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.08, 0.05)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:963   leftController:(0.22, 1.17, 0.32)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.08, 0.04)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:977   leftController:(0.22, 1.17, 0.33)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, -0.08, 0.04)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:986   leftController:(0.22, 1.17, 0.33)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, -0.08, 0.04)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:996   leftController:(0.22, 1.17, 0.33)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, -0.07, 0.03)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:09   leftController:(0.22, 1.17, 0.33)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, -0.07, 0.04)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:18   leftController:(0.22, 1.17, 0.33)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, -0.08, 0.04)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:27   leftController:(0.22, 1.17, 0.33)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, -0.09, 0.04)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:37   leftController:(0.22, 1.17, 0.33)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, -0.09, 0.05)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:49   leftController:(0.22, 1.17, 0.33)  rightController:(0.01, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.00, -0.10, 0.05)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:62   leftController:(0.22, 1.17, 0.33)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.00, -0.12, 0.06)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:75   leftController:(0.22, 1.16, 0.33)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.00, -0.12, 0.06)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:86   leftController:(0.22, 1.16, 0.33)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, -0.13, 0.07)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:98   leftController:(0.22, 1.16, 0.33)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, -0.14, 0.07)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:111   leftController:(0.22, 1.16, 0.33)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, -0.15, 0.08)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:120   leftController:(0.22, 1.16, 0.33)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, -0.16, 0.08)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:128   leftController:(0.23, 1.16, 0.33)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, -0.17, 0.09)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:139   leftController:(0.23, 1.15, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, -0.18, 0.09)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:150   leftController:(0.23, 1.15, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.00, -0.20, 0.09)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:162   leftController:(0.23, 1.15, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.00, -0.21, 0.10)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:172   leftController:(0.23, 1.15, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.01, -0.22, 0.09)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:186   leftController:(0.23, 1.14, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.01, -0.22, 0.08)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
