2021.4.7 15:02:05:205   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:215   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:223   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:232   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:244   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:263   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.04, -0.01)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:273   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(-0.01, -0.05, -0.01)  rightControllerVel:(0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:287   leftController:(0.24, 1.14, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.01, -0.06, -0.01)  rightControllerVel:(0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:296   leftController:(0.24, 1.14, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.01, -0.08, -0.01)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:305   leftController:(0.24, 1.14, 0.46)  rightController:(-0.12, 1.17, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.01, -0.09, -0.01)  rightControllerVel:(0.03, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:314   leftController:(0.24, 1.14, 0.46)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.02, -0.10, -0.01)  rightControllerVel:(0.03, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:322   leftController:(0.24, 1.14, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.02, -0.11, -0.01)  rightControllerVel:(0.03, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:332   leftController:(0.24, 1.14, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.02, -0.14, -0.02)  rightControllerVel:(0.03, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:353   leftController:(0.24, 1.14, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.03, -0.18, -0.02)  rightControllerVel:(0.02, -0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:362   leftController:(0.24, 1.13, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.03, -0.20, -0.03)  rightControllerVel:(0.02, -0.05, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:370   leftController:(0.24, 1.13, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.03, -0.24, -0.03)  rightControllerVel:(0.02, -0.05, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
