2021.4.7 14:36:16:943   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.08, 0.04, -0.02)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:954   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.08, 0.03, -0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:971   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.08, 0.00, 0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.7 14:36:16:986   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.09, -0.06, 0.06)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.7 14:36:17:00   leftController:(0.21, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.10, -0.09, 0.09)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:08   leftController:(0.22, 1.23, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.10, -0.12, 0.10)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:17   leftController:(0.22, 1.22, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.11, -0.15, 0.12)  rightControllerVel:(0.02, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:27   leftController:(0.22, 1.22, 0.32)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.13, -0.20, 0.15)  rightControllerVel:(0.02, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:40   leftController:(0.22, 1.22, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.14, -0.25, 0.17)  rightControllerVel:(0.03, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:48   leftController:(0.22, 1.22, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.14, -0.28, 0.18)  rightControllerVel:(0.03, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:56   leftController:(0.22, 1.21, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.15, -0.31, 0.20)  rightControllerVel:(0.04, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:66   leftController:(0.22, 1.21, 0.33)  rightController:(-0.09, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.16, -0.34, 0.20)  rightControllerVel:(0.04, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
