2021.4.7 14:38:50:662   leftController:(0.21, 1.09, 0.40)  rightController:(-0.17, 0.68, 0.09)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.13, -0.66, 0.08)  rightControllerVel:(0.03, 0.02, 0.15)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:691   leftController:(0.21, 1.07, 0.40)  rightController:(-0.17, 0.68, 0.10)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.14, -0.64, -0.01)  rightControllerVel:(0.03, 0.03, 0.19)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:706   leftController:(0.21, 1.06, 0.40)  rightController:(-0.17, 0.68, 0.10)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.15, -0.61, -0.04)  rightControllerVel:(0.03, 0.04, 0.22)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:728   leftController:(0.22, 1.05, 0.39)  rightController:(-0.16, 0.68, 0.11)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.16, -0.55, -0.10)  rightControllerVel:(0.02, 0.05, 0.28)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:753   leftController:(0.22, 1.03, 0.39)  rightController:(-0.16, 0.68, 0.11)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.17, -0.50, -0.13)  rightControllerVel:(0.00, 0.08, 0.38)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:775   leftController:(0.22, 1.02, 0.39)  rightController:(-0.16, 0.69, 0.12)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.17, -0.43, -0.14)  rightControllerVel:(-0.02, 0.14, 0.51)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:796   leftController:(0.23, 1.02, 0.39)  rightController:(-0.17, 0.69, 0.14)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.18, -0.36, -0.14)  rightControllerVel:(-0.04, 0.19, 0.61)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:806   leftController:(0.23, 1.01, 0.38)  rightController:(-0.17, 0.69, 0.14)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.18, -0.32, -0.14)  rightControllerVel:(-0.05, 0.26, 0.72)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:818   leftController:(0.23, 1.01, 0.38)  rightController:(-0.17, 0.70, 0.15)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.19, -0.26, -0.12)  rightControllerVel:(-0.05, 0.29, 0.77)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:835   leftController:(0.24, 1.01, 0.38)  rightController:(-0.17, 0.70, 0.17)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.20, -0.19, -0.11)  rightControllerVel:(-0.05, 0.40, 0.88)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:849   leftController:(0.24, 1.00, 0.38)  rightController:(-0.17, 0.71, 0.18)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.21, -0.12, -0.10)  rightControllerVel:(-0.04, 0.47, 0.95)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:858   leftController:(0.24, 1.00, 0.38)  rightController:(-0.17, 0.72, 0.19)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.21, -0.07, -0.10)  rightControllerVel:(-0.03, 0.53, 0.99)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:869   leftController:(0.24, 1.00, 0.38)  rightController:(-0.17, 0.72, 0.20)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.20, 0.02, -0.08)  rightControllerVel:(-0.02, 0.62, 1.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:883   leftController:(0.25, 1.01, 0.38)  rightController:(-0.17, 0.73, 0.22)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.18, 0.14, -0.06)  rightControllerVel:(0.01, 0.73, 1.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:891   leftController:(0.25, 1.01, 0.38)  rightController:(-0.17, 0.74, 0.23)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.16, 0.22, -0.04)  rightControllerVel:(0.02, 0.80, 1.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:899   leftController:(0.25, 1.01, 0.38)  rightController:(-0.17, 0.75, 0.24)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.14, 0.31, -0.03)  rightControllerVel:(0.05, 0.86, 1.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:907   leftController:(0.25, 1.01, 0.38)  rightController:(-0.17, 0.76, 0.24)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.14, 0.39, -0.01)  rightControllerVel:(0.07, 0.93, 1.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:918   leftController:(0.25, 1.02, 0.38)  rightController:(-0.17, 0.77, 0.26)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.18)  leftControllerVel:(0.13, 0.49, 0.00)  rightControllerVel:(0.11, 1.05, 1.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:931   leftController:(0.25, 1.03, 0.38)  rightController:(-0.16, 0.78, 0.27)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.19)  leftControllerVel:(0.12, 0.58, 0.00)  rightControllerVel:(0.13, 1.11, 1.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
