2021.4.7 14:59:23:909   leftController:(0.01, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.04, 0.00)  rightControllerVel:(-0.01, -0.06, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:928   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(-0.01, -0.05, 0.00)  rightControllerVel:(-0.02, -0.07, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:951   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.06, 0.00)  rightControllerVel:(-0.03, -0.08, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:978   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.22, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.05, -0.01)  rightControllerVel:(-0.04, -0.09, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:996   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.22, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.05, 0.00)  rightControllerVel:(-0.04, -0.09, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:20   leftController:(0.00, 1.08, 0.26)  rightController:(-0.26, 1.22, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.04, -0.01)  rightControllerVel:(-0.03, -0.08, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:44   leftController:(0.00, 1.08, 0.26)  rightController:(-0.26, 1.22, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(-0.02, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:62   leftController:(0.00, 1.08, 0.26)  rightController:(-0.26, 1.22, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(-0.02, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:86   leftController:(0.00, 1.08, 0.26)  rightController:(-0.27, 1.22, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.01, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:99   leftController:(0.00, 1.08, 0.26)  rightController:(-0.27, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(-0.01, -0.03, 0.01)  rightControllerVel:(-0.01, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:109   leftController:(0.00, 1.08, 0.26)  rightController:(-0.27, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(-0.01, -0.03, 0.01)  rightControllerVel:(0.00, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:124   leftController:(0.00, 1.08, 0.26)  rightController:(-0.27, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.03, 0.01)  rightControllerVel:(0.00, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:138   leftController:(0.00, 1.08, 0.26)  rightController:(-0.27, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.00, -0.02, 0.02)  rightControllerVel:(0.01, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:146   leftController:(0.00, 1.08, 0.26)  rightController:(-0.26, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.01, -0.02, 0.02)  rightControllerVel:(0.02, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:155   leftController:(0.00, 1.08, 0.26)  rightController:(-0.26, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.01, -0.02, 0.02)  rightControllerVel:(0.02, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:164   leftController:(0.00, 1.08, 0.26)  rightController:(-0.26, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.01, -0.01, 0.03)  rightControllerVel:(0.03, -0.07, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:175   leftController:(0.00, 1.08, 0.26)  rightController:(-0.26, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.02, -0.01, 0.03)  rightControllerVel:(0.04, -0.09, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:186   leftController:(0.00, 1.08, 0.26)  rightController:(-0.26, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.03, -0.01, 0.04)  rightControllerVel:(0.05, -0.10, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:200   leftController:(0.01, 1.08, 0.26)  rightController:(-0.26, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.04, -0.01, 0.05)  rightControllerVel:(0.05, -0.13, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:210   leftController:(0.01, 1.08, 0.26)  rightController:(-0.26, 1.21, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.05, -0.01, 0.06)  rightControllerVel:(0.05, -0.14, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
