2021.4.7 15:04:32:982   leftController:(0.26, 1.07, 0.51)  rightController:(-0.05, 1.04, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.03, -0.62, -0.07)  rightControllerVel:(0.01, -0.22, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:991   leftController:(0.26, 1.06, 0.51)  rightController:(-0.06, 1.04, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.03, -0.66, -0.08)  rightControllerVel:(0.00, -0.26, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:00   leftController:(0.26, 1.06, 0.51)  rightController:(-0.06, 1.03, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.04, -0.71, -0.09)  rightControllerVel:(0.00, -0.28, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:10   leftController:(0.26, 1.05, 0.51)  rightController:(-0.06, 1.03, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.03, -0.74, -0.10)  rightControllerVel:(0.00, -0.32, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:21   leftController:(0.26, 1.04, 0.51)  rightController:(-0.06, 1.03, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.03, -0.78, -0.11)  rightControllerVel:(-0.01, -0.37, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:32   leftController:(0.26, 1.03, 0.51)  rightController:(-0.06, 1.02, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.01, -0.80, -0.13)  rightControllerVel:(-0.02, -0.41, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:42   leftController:(0.26, 1.02, 0.51)  rightController:(-0.06, 1.02, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.82, -0.15)  rightControllerVel:(-0.02, -0.43, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:52   leftController:(0.26, 1.02, 0.51)  rightController:(-0.06, 1.01, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.02, -0.82, -0.16)  rightControllerVel:(-0.03, -0.48, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:65   leftController:(0.26, 1.00, 0.50)  rightController:(-0.06, 1.01, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.04, -0.82, -0.19)  rightControllerVel:(-0.04, -0.53, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:79   leftController:(0.26, 0.99, 0.50)  rightController:(-0.06, 1.00, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.05, -0.82, -0.21)  rightControllerVel:(-0.05, -0.59, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
