2021.4.26 11:40:15:651   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:662   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:672   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:684   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:695   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:706   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:717   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:728   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:741   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:751   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:761   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:772   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:784   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.26 11:40:15:795   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(-0.73, 0.75, 2.18)  rightTracker:(-0.63, 0.76, 2.24)  headset:(-0.21, 1.73, 0.35)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
