2021.4.28 16:13:18:892   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:903   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:914   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:928   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:938   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:947   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:958   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:970   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:981   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:992   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
