2021.4.28 17:12:21:890   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.02, 0.02)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:900   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.05, -0.02, 0.02)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:911   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.05, -0.02, 0.01)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:923   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.05, -0.03, 0.01)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:934   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.05, -0.03, 0.01)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:946   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.05, -0.04, 0.01)  rightControllerVel:(0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:956   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.05, -0.04, 0.01)  rightControllerVel:(0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:967   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.05, -0.05, 0.01)  rightControllerVel:(0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:978   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.05, -0.05, 0.00)  rightControllerVel:(0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:989   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.05, -0.05, 0.00)  rightControllerVel:(0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:01   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.05, 0.00)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
