2021.4.27 11:08:47:738   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:749   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:760   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:771   leftController:(0.17, 1.20, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:782   leftController:(0.17, 1.20, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:793   leftController:(0.17, 1.20, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:805   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:816   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:828   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:838   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
