2021.4.28 16:32:04:304   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.02, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:314   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.02, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:326   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:336   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:347   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:358   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:370   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:381   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:393   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:403   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:414   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:425   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:437   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.03, -0.01, -0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:448   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.04, -0.02, 0.00)  rightControllerVel:(0.02, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:459   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.04, -0.03, 0.00)  rightControllerVel:(0.02, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:470   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.03, -0.04, 0.00)  rightControllerVel:(0.02, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:482   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.03, -0.04, 0.00)  rightControllerVel:(0.02, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:493   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.02, -0.04, 0.00)  rightControllerVel:(0.02, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
