2021.4.6 18:06:22:481   leftController:(-0.25, 0.73, 0.19)  rightController:(0.12, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.07, -0.03, -0.08)  rightControllerVel:(-0.10, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:490   leftController:(-0.25, 0.73, 0.19)  rightController:(0.12, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.07, -0.03, -0.09)  rightControllerVel:(-0.09, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:503   leftController:(-0.25, 0.73, 0.19)  rightController:(0.12, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.06, -0.04, -0.11)  rightControllerVel:(-0.09, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:517   leftController:(-0.25, 0.73, 0.19)  rightController:(0.12, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.06, -0.05, -0.13)  rightControllerVel:(-0.08, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:531   leftController:(-0.25, 0.73, 0.18)  rightController:(0.12, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.05, -0.05, -0.15)  rightControllerVel:(-0.08, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:540   leftController:(-0.25, 0.73, 0.18)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.05, -0.06, -0.15)  rightControllerVel:(-0.08, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:550   leftController:(-0.25, 0.73, 0.18)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.05, -0.06, -0.16)  rightControllerVel:(-0.08, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:560   leftController:(-0.25, 0.73, 0.18)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.04, -0.06, -0.17)  rightControllerVel:(-0.07, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:570   leftController:(-0.25, 0.73, 0.18)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.04, -0.07, -0.18)  rightControllerVel:(-0.07, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:581   leftController:(-0.25, 0.73, 0.17)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.03, -0.07, -0.19)  rightControllerVel:(-0.07, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:592   leftController:(-0.25, 0.73, 0.17)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.03, -0.07, -0.19)  rightControllerVel:(-0.07, -0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:604   leftController:(-0.25, 0.73, 0.17)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.02, -0.07, -0.20)  rightControllerVel:(-0.06, -0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:622   leftController:(-0.25, 0.73, 0.17)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.01, -0.07, -0.20)  rightControllerVel:(-0.05, -0.06, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:639   leftController:(-0.25, 0.72, 0.16)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.00, -0.07, -0.19)  rightControllerVel:(-0.05, -0.07, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:650   leftController:(-0.25, 0.72, 0.16)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(-0.01, -0.06, -0.19)  rightControllerVel:(-0.04, -0.08, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:662   leftController:(-0.25, 0.72, 0.16)  rightController:(0.11, 1.39, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(-0.02, -0.06, -0.19)  rightControllerVel:(-0.04, -0.09, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:672   leftController:(-0.25, 0.72, 0.16)  rightController:(0.11, 1.38, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(-0.03, -0.06, -0.18)  rightControllerVel:(-0.03, -0.10, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:683   leftController:(-0.25, 0.72, 0.16)  rightController:(0.11, 1.38, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(-0.04, -0.05, -0.17)  rightControllerVel:(-0.03, -0.11, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:697   leftController:(-0.25, 0.72, 0.15)  rightController:(0.11, 1.38, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(-0.05, -0.05, -0.16)  rightControllerVel:(-0.03, -0.12, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:706   leftController:(-0.25, 0.72, 0.15)  rightController:(0.11, 1.38, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(-0.06, -0.05, -0.16)  rightControllerVel:(-0.02, -0.13, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:722   leftController:(-0.25, 0.72, 0.15)  rightController:(0.11, 1.38, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(-0.07, -0.05, -0.14)  rightControllerVel:(-0.02, -0.16, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:22:732   leftController:(-0.25, 0.72, 0.15)  rightController:(0.11, 1.38, 0.72)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(-0.08, -0.04, -0.14)  rightControllerVel:(-0.02, -0.17, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
