2021.4.6 18:08:55:973   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.42, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.13, 0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:997   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.41, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.01, -0.12, 0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:18   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.41, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.01, -0.11, 0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:44   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.41, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(-0.01, -0.10, 0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:63   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.41, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.02, -0.08, 0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:92   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.03, -0.06, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:108   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.03, -0.05, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:131   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(0.00, 0.00, 0.03)  rightControllerVel:(0.00, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:152   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(0.00, 0.01, 0.03)  rightControllerVel:(0.02, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:174   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(0.00, 0.00, 0.03)  rightControllerVel:(-0.01, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
