2021.4.6 18:03:33:814   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.34, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.07, 0.01, 0.03)  rightControllerVel:(-0.03, -0.64, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:838   leftController:(-0.16, 0.72, 0.12)  rightController:(0.19, 1.32, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.07, 0.01, 0.02)  rightControllerVel:(-0.04, -0.68, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:860   leftController:(-0.17, 0.72, 0.12)  rightController:(0.19, 1.31, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.07, 0.01, 0.01)  rightControllerVel:(-0.05, -0.70, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:882   leftController:(-0.17, 0.72, 0.12)  rightController:(0.19, 1.29, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.06, 0.00, 0.00)  rightControllerVel:(-0.07, -0.73, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:909   leftController:(-0.17, 0.72, 0.12)  rightController:(0.19, 1.27, 0.53)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.05, 0.00, -0.01)  rightControllerVel:(-0.09, -0.77, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:926   leftController:(-0.17, 0.72, 0.12)  rightController:(0.19, 1.26, 0.52)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.04, -0.01, -0.02)  rightControllerVel:(-0.10, -0.80, -0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:949   leftController:(-0.17, 0.72, 0.12)  rightController:(0.18, 1.24, 0.52)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.03, 0.00, -0.01)  rightControllerVel:(-0.12, -0.82, -0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:971   leftController:(-0.17, 0.72, 0.12)  rightController:(0.18, 1.22, 0.52)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.02, 0.02, 0.01)  rightControllerVel:(-0.15, -0.78, -0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:33:993   leftController:(-0.17, 0.72, 0.12)  rightController:(0.18, 1.20, 0.52)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.02, 0.04, 0.05)  rightControllerVel:(-0.16, -0.73, -0.16)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:16   leftController:(-0.17, 0.72, 0.12)  rightController:(0.17, 1.19, 0.51)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(-0.01, 0.06, 0.07)  rightControllerVel:(-0.16, -0.64, -0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:27   leftController:(-0.17, 0.73, 0.13)  rightController:(0.17, 1.18, 0.51)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.00, 0.07, 0.09)  rightControllerVel:(-0.17, -0.59, -0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:40   leftController:(-0.17, 0.73, 0.13)  rightController:(0.17, 1.18, 0.51)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.00, 0.08, 0.11)  rightControllerVel:(-0.16, -0.53, -0.16)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:54   leftController:(-0.17, 0.73, 0.13)  rightController:(0.17, 1.17, 0.51)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.01, 0.11, 0.15)  rightControllerVel:(-0.14, -0.47, -0.16)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:64   leftController:(-0.17, 0.73, 0.13)  rightController:(0.17, 1.16, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.01, 0.12, 0.17)  rightControllerVel:(-0.12, -0.41, -0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:72   leftController:(-0.17, 0.73, 0.13)  rightController:(0.16, 1.16, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.01, 0.13, 0.20)  rightControllerVel:(-0.11, -0.37, -0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:83   leftController:(-0.17, 0.73, 0.14)  rightController:(0.16, 1.16, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.01, 0.14, 0.22)  rightControllerVel:(-0.09, -0.33, -0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:94   leftController:(-0.17, 0.73, 0.14)  rightController:(0.16, 1.16, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.01, 0.15, 0.25)  rightControllerVel:(-0.08, -0.26, -0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:105   leftController:(-0.17, 0.74, 0.14)  rightController:(0.16, 1.15, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.02, 0.16, 0.28)  rightControllerVel:(-0.06, -0.19, -0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:116   leftController:(-0.17, 0.74, 0.14)  rightController:(0.16, 1.15, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.03, 0.17, 0.30)  rightControllerVel:(-0.05, -0.15, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:127   leftController:(-0.17, 0.74, 0.15)  rightController:(0.16, 1.15, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.04, 0.19, 0.35)  rightControllerVel:(-0.05, -0.11, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
