2021.4.16 16:35:15:142   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:153   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:165   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:176   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:187   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:198   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:209   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:220   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:232   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:243   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
