2021.4.16 16:57:36:19   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:31   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:43   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:54   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:64   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:75   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:87   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:98   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:109   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:36:120   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
