2021.4.16 15:35:40:675   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.02, 0.05, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:687   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.03, 0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:697   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.03, 0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:708   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(0.03, 0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:719   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.03, 0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:730   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.03, 0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:742   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.03, 0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:753   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.02, 0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:764   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.03, 0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:775   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.03, 0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:786   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.04, 0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:798   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.04, 0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:809   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.05, 0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:822   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.07, 0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:831   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.07, 0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:842   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.08, 0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:854   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.08, 0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
