2021.4.16 15:11:24:788   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:801   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:812   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:821   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:833   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:844   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:855   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:866   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:877   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:888   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:901   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:913   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:922   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:933   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:944   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:955   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:966   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:978   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:990   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:01   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:12   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:23   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:33   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:44   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.02, 0.00, 0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:56   leftController:(0.08, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.03, -0.01, 0.01)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:67   leftController:(0.08, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.23)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.04, -0.02, 0.02)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:79   leftController:(0.08, 1.25, 0.13)  rightController:(-0.10, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.05, -0.02, 0.02)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:90   leftController:(0.08, 1.25, 0.13)  rightController:(-0.10, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.05, -0.03, 0.03)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:101   leftController:(0.08, 1.25, 0.13)  rightController:(-0.10, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.05, -0.03, 0.03)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:111   leftController:(0.08, 1.25, 0.13)  rightController:(-0.10, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.05, -0.03, 0.03)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:123   leftController:(0.08, 1.25, 0.13)  rightController:(-0.10, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.05, -0.03, 0.02)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:134   leftController:(0.08, 1.25, 0.13)  rightController:(-0.10, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.23)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.05, -0.03, 0.02)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:145   leftController:(0.08, 1.25, 0.14)  rightController:(-0.10, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.05, -0.03, 0.02)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:156   leftController:(0.08, 1.25, 0.14)  rightController:(-0.10, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.23)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.04, -0.02, 0.01)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:25:168   leftController:(0.08, 1.25, 0.14)  rightController:(-0.10, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.05, 1.58, -0.20)  leftControllerVel:(0.04, -0.02, 0.01)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
