2021.4.5 14:37:06:678   leftController:(0.26, 1.04, 0.74)  rightController:(-0.13, 0.85, 0.65)  leftTracker:(-0.16, 0.17, 0.31)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.08, 1.51, 0.51)
2021.4.5 14:37:06:703   leftController:(0.27, 1.05, 0.73)  rightController:(-0.13, 0.85, 0.66)  leftTracker:(-0.16, 0.17, 0.31)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.51)
2021.4.5 14:37:06:724   leftController:(0.27, 1.06, 0.73)  rightController:(-0.13, 0.85, 0.66)  leftTracker:(-0.16, 0.17, 0.31)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.51)
2021.4.5 14:37:06:750   leftController:(0.27, 1.08, 0.73)  rightController:(-0.13, 0.85, 0.66)  leftTracker:(-0.16, 0.17, 0.31)  rightTracker:(0.08, 0.16, 0.37)  headset:(0.08, 1.51, 0.51)
2021.4.5 14:37:06:767   leftController:(0.27, 1.08, 0.73)  rightController:(-0.13, 0.85, 0.66)  leftTracker:(-0.16, 0.17, 0.31)  rightTracker:(0.08, 0.16, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:06:793   leftController:(0.27, 1.09, 0.73)  rightController:(-0.13, 0.85, 0.67)  leftTracker:(-0.16, 0.17, 0.31)  rightTracker:(0.08, 0.16, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:06:816   leftController:(0.27, 1.09, 0.73)  rightController:(-0.13, 0.85, 0.67)  leftTracker:(-0.16, 0.18, 0.31)  rightTracker:(0.08, 0.16, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:06:834   leftController:(0.26, 1.09, 0.73)  rightController:(-0.13, 0.86, 0.67)  leftTracker:(-0.16, 0.18, 0.31)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:06:857   leftController:(0.27, 1.09, 0.74)  rightController:(-0.13, 0.86, 0.67)  leftTracker:(-0.16, 0.18, 0.31)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:06:880   leftController:(0.27, 1.09, 0.74)  rightController:(-0.13, 0.86, 0.68)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:06:907   leftController:(0.27, 1.09, 0.74)  rightController:(-0.13, 0.86, 0.68)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:06:923   leftController:(0.27, 1.09, 0.74)  rightController:(-0.13, 0.86, 0.68)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
