2021.4.5 14:54:27:707   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.19, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:721   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.19, 0.33)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:734   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.19, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:744   leftController:(0.24, 1.13, 0.27)  rightController:(-0.03, 1.18, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:753   leftController:(0.24, 1.13, 0.27)  rightController:(-0.04, 1.18, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:763   leftController:(0.24, 1.13, 0.27)  rightController:(-0.04, 1.18, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:772   leftController:(0.24, 1.13, 0.27)  rightController:(-0.04, 1.18, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:787   leftController:(0.24, 1.13, 0.27)  rightController:(-0.04, 1.18, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:804   leftController:(0.24, 1.14, 0.27)  rightController:(-0.04, 1.18, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:819   leftController:(0.24, 1.14, 0.27)  rightController:(-0.04, 1.17, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:831   leftController:(0.24, 1.14, 0.27)  rightController:(-0.04, 1.17, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:842   leftController:(0.24, 1.14, 0.27)  rightController:(-0.04, 1.17, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:853   leftController:(0.24, 1.14, 0.27)  rightController:(-0.04, 1.17, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:862   leftController:(0.24, 1.14, 0.27)  rightController:(-0.04, 1.17, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.04)
2021.4.5 14:54:27:872   leftController:(0.24, 1.14, 0.27)  rightController:(-0.04, 1.17, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:882   leftController:(0.24, 1.14, 0.27)  rightController:(-0.04, 1.17, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:896   leftController:(0.24, 1.14, 0.27)  rightController:(-0.05, 1.16, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:909   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.16, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:920   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.16, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:930   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.16, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:947   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.16, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:956   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.16, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:967   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.16, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:976   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.16, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:27:996   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
