2021.4.5 20:17:36:852   leftController:(-0.06, 1.06, 0.14)  rightController:(0.29, 1.06, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:864   leftController:(-0.05, 1.07, 0.14)  rightController:(0.29, 1.06, 0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:876   leftController:(-0.05, 1.07, 0.15)  rightController:(0.29, 1.06, 0.13)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:888   leftController:(-0.05, 1.07, 0.15)  rightController:(0.29, 1.06, 0.13)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:902   leftController:(-0.05, 1.07, 0.15)  rightController:(0.29, 1.06, 0.13)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:914   leftController:(-0.05, 1.07, 0.15)  rightController:(0.29, 1.07, 0.13)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:927   leftController:(-0.05, 1.08, 0.15)  rightController:(0.29, 1.07, 0.13)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:936   leftController:(-0.05, 1.08, 0.14)  rightController:(0.29, 1.07, 0.13)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:946   leftController:(-0.05, 1.08, 0.14)  rightController:(0.29, 1.07, 0.13)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:955   leftController:(-0.04, 1.08, 0.14)  rightController:(0.29, 1.07, 0.13)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
