2021.4.5 20:01:28:645   leftController:(0.29, 1.11, 0.34)  rightController:(0.04, 1.15, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:655   leftController:(0.29, 1.11, 0.34)  rightController:(0.04, 1.15, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:666   leftController:(0.29, 1.11, 0.34)  rightController:(0.04, 1.15, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:678   leftController:(0.29, 1.11, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:690   leftController:(0.29, 1.11, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:703   leftController:(0.29, 1.11, 0.34)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:712   leftController:(0.29, 1.10, 0.33)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:725   leftController:(0.29, 1.10, 0.33)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:735   leftController:(0.29, 1.10, 0.33)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:746   leftController:(0.29, 1.10, 0.33)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:756   leftController:(0.29, 1.10, 0.33)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:767   leftController:(0.29, 1.10, 0.33)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:778   leftController:(0.29, 1.10, 0.33)  rightController:(0.04, 1.14, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:794   leftController:(0.29, 1.10, 0.33)  rightController:(0.04, 1.13, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:806   leftController:(0.29, 1.10, 0.33)  rightController:(0.04, 1.13, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:824   leftController:(0.29, 1.10, 0.33)  rightController:(0.03, 1.13, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.61, 0.04)
2021.4.5 20:01:28:834   leftController:(0.29, 1.10, 0.33)  rightController:(0.03, 1.13, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:845   leftController:(0.29, 1.10, 0.33)  rightController:(0.03, 1.13, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:854   leftController:(0.29, 1.10, 0.33)  rightController:(0.03, 1.13, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:863   leftController:(0.29, 1.10, 0.33)  rightController:(0.03, 1.13, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:871   leftController:(0.29, 1.10, 0.33)  rightController:(0.03, 1.12, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:881   leftController:(0.29, 1.10, 0.33)  rightController:(0.03, 1.12, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:894   leftController:(0.29, 1.11, 0.33)  rightController:(0.03, 1.12, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:906   leftController:(0.29, 1.11, 0.33)  rightController:(0.03, 1.12, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:917   leftController:(0.30, 1.11, 0.33)  rightController:(0.03, 1.12, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:927   leftController:(0.30, 1.11, 0.33)  rightController:(0.03, 1.12, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:936   leftController:(0.30, 1.11, 0.33)  rightController:(0.02, 1.12, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:947   leftController:(0.30, 1.11, 0.33)  rightController:(0.02, 1.11, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:957   leftController:(0.30, 1.11, 0.33)  rightController:(0.02, 1.11, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:968   leftController:(0.30, 1.10, 0.33)  rightController:(0.02, 1.11, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:980   leftController:(0.30, 1.10, 0.33)  rightController:(0.01, 1.11, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:28:992   leftController:(0.30, 1.10, 0.33)  rightController:(0.01, 1.11, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:29:05   leftController:(0.30, 1.10, 0.33)  rightController:(0.01, 1.10, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:29:14   leftController:(0.30, 1.10, 0.33)  rightController:(0.01, 1.10, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.60, 0.04)
2021.4.5 20:01:29:24   leftController:(0.30, 1.10, 0.33)  rightController:(0.00, 1.10, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.60, 0.04)
2021.4.5 20:01:29:35   leftController:(0.30, 1.10, 0.33)  rightController:(0.00, 1.10, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.60, 0.04)
2021.4.5 20:01:29:46   leftController:(0.30, 1.10, 0.33)  rightController:(0.00, 1.10, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.60, 0.04)
2021.4.5 20:01:29:57   leftController:(0.30, 1.10, 0.33)  rightController:(0.00, 1.10, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:71   leftController:(0.30, 1.10, 0.33)  rightController:(-0.01, 1.10, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:87   leftController:(0.30, 1.10, 0.33)  rightController:(-0.01, 1.10, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:100   leftController:(0.30, 1.10, 0.33)  rightController:(-0.01, 1.09, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:108   leftController:(0.30, 1.10, 0.33)  rightController:(-0.02, 1.09, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:117   leftController:(0.30, 1.10, 0.33)  rightController:(-0.02, 1.09, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:125   leftController:(0.30, 1.10, 0.33)  rightController:(-0.02, 1.09, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:136   leftController:(0.30, 1.10, 0.33)  rightController:(-0.02, 1.09, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:147   leftController:(0.30, 1.10, 0.33)  rightController:(-0.02, 1.09, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:158   leftController:(0.30, 1.10, 0.33)  rightController:(-0.02, 1.09, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:177   leftController:(0.30, 1.10, 0.33)  rightController:(-0.03, 1.09, 0.28)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:189   leftController:(0.30, 1.10, 0.33)  rightController:(-0.03, 1.09, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:200   leftController:(0.30, 1.10, 0.33)  rightController:(-0.03, 1.09, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:209   leftController:(0.30, 1.10, 0.33)  rightController:(-0.03, 1.08, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:217   leftController:(0.30, 1.10, 0.33)  rightController:(-0.03, 1.08, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:225   leftController:(0.30, 1.10, 0.33)  rightController:(-0.03, 1.08, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:237   leftController:(0.30, 1.10, 0.33)  rightController:(-0.03, 1.08, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:248   leftController:(0.30, 1.10, 0.33)  rightController:(-0.04, 1.08, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:260   leftController:(0.30, 1.10, 0.33)  rightController:(-0.04, 1.08, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:278   leftController:(0.30, 1.10, 0.33)  rightController:(-0.04, 1.08, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:292   leftController:(0.30, 1.09, 0.33)  rightController:(-0.04, 1.08, 0.27)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:302   leftController:(0.30, 1.09, 0.33)  rightController:(-0.04, 1.07, 0.26)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:310   leftController:(0.30, 1.09, 0.33)  rightController:(-0.04, 1.07, 0.26)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:319   leftController:(0.30, 1.09, 0.33)  rightController:(-0.04, 1.07, 0.26)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:328   leftController:(0.30, 1.09, 0.33)  rightController:(-0.04, 1.07, 0.26)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:339   leftController:(0.30, 1.09, 0.33)  rightController:(-0.04, 1.07, 0.26)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:349   leftController:(0.30, 1.09, 0.33)  rightController:(-0.04, 1.07, 0.26)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:364   leftController:(0.30, 1.09, 0.32)  rightController:(-0.04, 1.07, 0.26)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:379   leftController:(0.30, 1.09, 0.32)  rightController:(-0.04, 1.06, 0.25)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:388   leftController:(0.30, 1.09, 0.32)  rightController:(-0.04, 1.06, 0.25)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
