2021.4.5 20:06:54:859   leftController:(0.31, 1.09, 0.25)  rightController:(-0.02, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:06:54:871   leftController:(0.31, 1.09, 0.25)  rightController:(-0.02, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:06:54:884   leftController:(0.31, 1.09, 0.25)  rightController:(-0.02, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:06:54:894   leftController:(0.31, 1.09, 0.25)  rightController:(-0.03, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:06:54:903   leftController:(0.31, 1.09, 0.25)  rightController:(-0.03, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.61, -0.03)
2021.4.5 20:06:54:915   leftController:(0.31, 1.09, 0.25)  rightController:(-0.03, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.61, -0.03)
2021.4.5 20:06:54:929   leftController:(0.32, 1.09, 0.25)  rightController:(-0.03, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.61, -0.03)
2021.4.5 20:06:54:939   leftController:(0.32, 1.09, 0.26)  rightController:(-0.03, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.61, -0.03)
2021.4.5 20:06:54:949   leftController:(0.32, 1.09, 0.26)  rightController:(-0.04, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.61, -0.03)
2021.4.5 20:06:54:962   leftController:(0.32, 1.09, 0.26)  rightController:(-0.04, 1.07, 0.14)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.61, -0.03)
2021.4.5 20:06:54:973   leftController:(0.33, 1.09, 0.26)  rightController:(-0.04, 1.07, 0.14)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.61, -0.03)
2021.4.5 20:06:54:981   leftController:(0.33, 1.09, 0.26)  rightController:(-0.04, 1.07, 0.14)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:06:54:993   leftController:(0.33, 1.09, 0.26)  rightController:(-0.05, 1.07, 0.14)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:06:55:05   leftController:(0.33, 1.09, 0.27)  rightController:(-0.05, 1.06, 0.14)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:06:55:16   leftController:(0.33, 1.09, 0.27)  rightController:(-0.05, 1.06, 0.15)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:06:55:31   leftController:(0.34, 1.09, 0.27)  rightController:(-0.06, 1.06, 0.15)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:06:55:41   leftController:(0.34, 1.09, 0.27)  rightController:(-0.06, 1.06, 0.15)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.61, -0.03)
2021.4.5 20:06:55:51   leftController:(0.34, 1.09, 0.27)  rightController:(-0.07, 1.06, 0.15)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.60, -0.03)
2021.4.5 20:06:55:61   leftController:(0.34, 1.09, 0.28)  rightController:(-0.07, 1.06, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.60, -0.03)
