2021.4.5 20:28:10:874   leftController:(-0.15, 0.95, 0.34)  rightController:(0.34, 0.87, 0.18)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.03, 1.64, 0.15)
2021.4.5 20:28:10:885   leftController:(-0.14, 0.97, 0.35)  rightController:(0.34, 0.89, 0.19)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.03, 1.64, 0.15)
2021.4.5 20:28:10:895   leftController:(-0.14, 0.99, 0.36)  rightController:(0.35, 0.90, 0.20)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.03, 1.64, 0.15)
2021.4.5 20:28:10:906   leftController:(-0.13, 1.01, 0.36)  rightController:(0.35, 0.91, 0.21)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.03, 1.64, 0.15)
2021.4.5 20:28:10:920   leftController:(-0.13, 1.03, 0.37)  rightController:(0.35, 0.93, 0.23)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.04, 1.64, 0.15)
2021.4.5 20:28:10:929   leftController:(-0.12, 1.04, 0.38)  rightController:(0.35, 0.94, 0.24)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.04, 1.64, 0.15)
2021.4.5 20:28:10:938   leftController:(-0.12, 1.05, 0.39)  rightController:(0.35, 0.94, 0.25)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.04, 1.64, 0.16)
2021.4.5 20:28:10:951   leftController:(-0.11, 1.07, 0.40)  rightController:(0.36, 0.96, 0.26)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.04, 1.64, 0.16)
2021.4.5 20:28:10:964   leftController:(-0.11, 1.07, 0.40)  rightController:(0.36, 0.97, 0.27)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.05, 1.64, 0.16)
2021.4.5 20:28:10:973   leftController:(-0.10, 1.08, 0.41)  rightController:(0.36, 0.97, 0.28)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.05, 1.64, 0.16)
2021.4.5 20:28:10:986   leftController:(-0.10, 1.08, 0.42)  rightController:(0.36, 0.98, 0.30)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.05, 1.63, 0.16)
2021.4.5 20:28:10:996   leftController:(-0.10, 1.08, 0.44)  rightController:(0.36, 0.98, 0.31)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.06, 1.63, 0.16)
2021.4.5 20:28:11:07   leftController:(-0.09, 1.07, 0.45)  rightController:(0.36, 0.99, 0.32)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.06, 1.63, 0.16)
2021.4.5 20:28:11:20   leftController:(-0.09, 1.07, 0.46)  rightController:(0.36, 1.00, 0.33)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.06, 1.63, 0.16)
2021.4.5 20:28:11:29   leftController:(-0.08, 1.06, 0.47)  rightController:(0.36, 1.00, 0.34)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.06, 1.63, 0.16)
2021.4.5 20:28:11:39   leftController:(-0.08, 1.06, 0.48)  rightController:(0.36, 1.00, 0.35)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.06, 1.63, 0.16)
2021.4.5 20:28:11:52   leftController:(-0.08, 1.07, 0.49)  rightController:(0.36, 1.01, 0.36)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.07, 1.63, 0.17)
2021.4.5 20:28:11:68   leftController:(-0.08, 1.09, 0.50)  rightController:(0.36, 1.02, 0.38)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.07, 1.63, 0.17)
2021.4.5 20:28:11:80   leftController:(-0.08, 1.10, 0.50)  rightController:(0.36, 1.02, 0.39)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.07, 1.63, 0.17)
