2021.4.5 20:15:00:166   leftController:(-0.04, 1.13, 0.21)  rightController:(0.23, 1.13, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:175   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.12, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:185   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.12, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:197   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.12, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:208   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:222   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:233   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.10, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:246   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.10, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:255   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.10, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.09, 1.66, -0.01)
2021.4.5 20:15:00:263   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.10, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:274   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.10, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:285   leftController:(-0.04, 1.13, 0.20)  rightController:(0.23, 1.10, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:297   leftController:(-0.04, 1.12, 0.20)  rightController:(0.23, 1.10, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:311   leftController:(-0.04, 1.12, 0.20)  rightController:(0.23, 1.09, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:336   leftController:(-0.04, 1.12, 0.20)  rightController:(0.23, 1.10, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:347   leftController:(-0.04, 1.12, 0.20)  rightController:(0.22, 1.10, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:359   leftController:(-0.03, 1.12, 0.20)  rightController:(0.22, 1.10, 0.17)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:371   leftController:(-0.03, 1.12, 0.20)  rightController:(0.22, 1.10, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:382   leftController:(-0.03, 1.12, 0.20)  rightController:(0.22, 1.10, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
