2021.4.5 20:04:05:133   leftController:(0.28, 1.09, 0.27)  rightController:(-0.03, 1.00, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.61, -0.02)
2021.4.5 20:04:05:144   leftController:(0.28, 1.09, 0.27)  rightController:(-0.03, 0.99, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.02)
2021.4.5 20:04:05:158   leftController:(0.28, 1.09, 0.27)  rightController:(-0.03, 0.99, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.02)
2021.4.5 20:04:05:171   leftController:(0.28, 1.08, 0.27)  rightController:(-0.03, 0.99, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.02)
2021.4.5 20:04:05:180   leftController:(0.28, 1.08, 0.27)  rightController:(-0.03, 0.99, 0.17)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.02)
2021.4.5 20:04:05:189   leftController:(0.28, 1.08, 0.26)  rightController:(-0.03, 0.98, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:200   leftController:(0.28, 1.08, 0.26)  rightController:(-0.03, 0.98, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:212   leftController:(0.29, 1.08, 0.26)  rightController:(-0.03, 0.98, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.02)
2021.4.5 20:04:05:225   leftController:(0.29, 1.08, 0.26)  rightController:(-0.03, 0.98, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:04:05:237   leftController:(0.29, 1.08, 0.25)  rightController:(-0.03, 0.98, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:04:05:250   leftController:(0.29, 1.08, 0.25)  rightController:(-0.03, 0.98, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.61, -0.03)
2021.4.5 20:04:05:265   leftController:(0.29, 1.08, 0.25)  rightController:(-0.03, 0.98, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.61, -0.03)
2021.4.5 20:04:05:274   leftController:(0.29, 1.08, 0.25)  rightController:(-0.03, 0.98, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.61, -0.02)
2021.4.5 20:04:05:283   leftController:(0.29, 1.08, 0.25)  rightController:(-0.03, 0.98, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.61, -0.02)
2021.4.5 20:04:05:293   leftController:(0.29, 1.08, 0.25)  rightController:(-0.03, 0.98, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.61, -0.02)
2021.4.5 20:04:05:312   leftController:(0.29, 1.07, 0.25)  rightController:(-0.03, 0.98, 0.16)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.02)
2021.4.5 20:04:05:321   leftController:(0.29, 1.07, 0.24)  rightController:(-0.03, 0.97, 0.16)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.02)
2021.4.5 20:04:05:330   leftController:(0.30, 1.07, 0.24)  rightController:(-0.03, 0.97, 0.16)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.02)
