2021.4.4 22:15:46:729   leftController:(-0.05, 1.10, 0.19)  rightController:(0.47, 1.22, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.14, 1.54, -0.11)
2021.4.4 22:15:46:743   leftController:(-0.05, 1.10, 0.19)  rightController:(0.48, 1.22, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.14, 1.54, -0.11)
2021.4.4 22:15:46:752   leftController:(-0.05, 1.10, 0.19)  rightController:(0.48, 1.22, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.14, 1.54, -0.10)
2021.4.4 22:15:46:765   leftController:(-0.05, 1.10, 0.19)  rightController:(0.49, 1.22, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.54, -0.10)
2021.4.4 22:15:46:775   leftController:(-0.05, 1.10, 0.19)  rightController:(0.49, 1.22, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.54, -0.10)
2021.4.4 22:15:46:786   leftController:(-0.04, 1.10, 0.19)  rightController:(0.49, 1.22, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.54, -0.10)
2021.4.4 22:15:46:798   leftController:(-0.04, 1.09, 0.19)  rightController:(0.49, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.54, -0.10)
2021.4.4 22:15:46:809   leftController:(-0.04, 1.09, 0.19)  rightController:(0.49, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.54, -0.10)
2021.4.4 22:15:46:820   leftController:(-0.04, 1.09, 0.19)  rightController:(0.50, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.54, -0.10)
2021.4.4 22:15:46:833   leftController:(-0.04, 1.08, 0.19)  rightController:(0.49, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.54, -0.10)
2021.4.4 22:15:46:845   leftController:(-0.04, 1.08, 0.19)  rightController:(0.49, 1.21, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.54, -0.10)
2021.4.4 22:15:46:859   leftController:(-0.03, 1.08, 0.20)  rightController:(0.50, 1.21, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.54, -0.10)
2021.4.4 22:15:46:867   leftController:(-0.03, 1.07, 0.20)  rightController:(0.49, 1.20, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.54, -0.10)
