2021.4.4 15:23:45:172   leftController:(-0.20, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:186   leftController:(-0.20, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:194   leftController:(-0.20, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:205   leftController:(-0.20, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:218   leftController:(-0.20, 0.99, 0.35)  rightController:(0.04, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:231   leftController:(-0.20, 0.99, 0.35)  rightController:(0.05, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.11)
2021.4.4 15:23:45:241   leftController:(-0.20, 0.99, 0.35)  rightController:(0.05, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:251   leftController:(-0.20, 0.99, 0.35)  rightController:(0.05, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:264   leftController:(-0.20, 0.99, 0.35)  rightController:(0.05, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:278   leftController:(-0.20, 0.99, 0.35)  rightController:(0.05, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:287   leftController:(-0.20, 0.99, 0.35)  rightController:(0.05, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:296   leftController:(-0.20, 0.99, 0.35)  rightController:(0.05, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:310   leftController:(-0.21, 0.99, 0.35)  rightController:(0.06, 0.98, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:322   leftController:(-0.21, 0.98, 0.35)  rightController:(0.06, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:330   leftController:(-0.21, 0.98, 0.35)  rightController:(0.06, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:342   leftController:(-0.21, 0.98, 0.35)  rightController:(0.06, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:354   leftController:(-0.21, 0.98, 0.35)  rightController:(0.06, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
2021.4.4 15:23:45:369   leftController:(-0.21, 0.98, 0.35)  rightController:(0.06, 0.97, 0.35)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.59, 0.12)
