2021.4.4 16:38:02:535   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.74, 0.19)
2021.4.4 16:38:02:543   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.74, 0.20)
2021.4.4 16:38:02:552   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.16, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.74, 0.20)
2021.4.4 16:38:02:562   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.16, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.19, 1.74, 0.20)
2021.4.4 16:38:02:571   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.16, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.20, 1.74, 0.20)
2021.4.4 16:38:02:582   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.16, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.20, 1.74, 0.20)
2021.4.4 16:38:02:594   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.16, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.20, 1.74, 0.20)
2021.4.4 16:38:02:606   leftController:(-0.13, 1.20, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.20, 1.74, 0.20)
2021.4.4 16:38:02:617   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.20, 1.74, 0.20)
2021.4.4 16:38:02:628   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.20, 1.74, 0.20)
2021.4.4 16:38:02:638   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.74, 0.21)
2021.4.4 16:38:02:649   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.73, 0.21)
2021.4.4 16:38:02:660   leftController:(-0.12, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.73, 0.21)
2021.4.4 16:38:02:671   leftController:(-0.12, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.73, 0.21)
