2021.4.4 16:44:03:750   leftController:(-0.11, 1.29, 0.53)  rightController:(-0.41, 1.25, 0.55)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.01)
2021.4.4 16:44:03:759   leftController:(-0.11, 1.29, 0.54)  rightController:(-0.41, 1.25, 0.56)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.01)
2021.4.4 16:44:03:767   leftController:(-0.11, 1.29, 0.55)  rightController:(-0.41, 1.25, 0.56)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.01)
2021.4.4 16:44:03:778   leftController:(-0.11, 1.29, 0.55)  rightController:(-0.41, 1.25, 0.57)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.01)
2021.4.4 16:44:03:789   leftController:(-0.10, 1.30, 0.56)  rightController:(-0.42, 1.26, 0.58)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.01)
2021.4.4 16:44:03:803   leftController:(-0.10, 1.30, 0.57)  rightController:(-0.42, 1.26, 0.58)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.01)
2021.4.4 16:44:03:818   leftController:(-0.10, 1.30, 0.58)  rightController:(-0.42, 1.26, 0.59)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.00)
2021.4.4 16:44:03:828   leftController:(-0.09, 1.30, 0.58)  rightController:(-0.42, 1.26, 0.59)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.00)
2021.4.4 16:44:03:837   leftController:(-0.09, 1.31, 0.58)  rightController:(-0.42, 1.27, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.34, 1.70, 0.00)
2021.4.4 16:44:03:845   leftController:(-0.09, 1.31, 0.59)  rightController:(-0.42, 1.27, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, 0.00)
2021.4.4 16:44:03:856   leftController:(-0.08, 1.31, 0.59)  rightController:(-0.42, 1.27, 0.60)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, 0.00)
