2021.4.4 16:53:14:638   leftController:(0.06, 1.11, 0.18)  rightController:(-0.12, 1.16, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:649   leftController:(0.06, 1.10, 0.19)  rightController:(-0.12, 1.17, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:660   leftController:(0.06, 1.10, 0.19)  rightController:(-0.12, 1.17, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:673   leftController:(0.06, 1.10, 0.19)  rightController:(-0.12, 1.18, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:685   leftController:(0.06, 1.09, 0.19)  rightController:(-0.12, 1.18, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:706   leftController:(0.06, 1.08, 0.19)  rightController:(-0.12, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:718   leftController:(0.06, 1.08, 0.19)  rightController:(-0.12, 1.20, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:730   leftController:(0.06, 1.08, 0.19)  rightController:(-0.12, 1.20, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:740   leftController:(0.06, 1.08, 0.19)  rightController:(-0.12, 1.21, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:753   leftController:(0.06, 1.07, 0.19)  rightController:(-0.13, 1.21, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:766   leftController:(0.06, 1.07, 0.19)  rightController:(-0.13, 1.21, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:780   leftController:(0.06, 1.07, 0.19)  rightController:(-0.13, 1.21, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:791   leftController:(0.06, 1.08, 0.19)  rightController:(-0.13, 1.21, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:806   leftController:(0.06, 1.08, 0.19)  rightController:(-0.13, 1.21, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:815   leftController:(0.06, 1.08, 0.19)  rightController:(-0.13, 1.21, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:826   leftController:(0.06, 1.08, 0.19)  rightController:(-0.14, 1.21, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:836   leftController:(0.06, 1.09, 0.19)  rightController:(-0.14, 1.21, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
