2021.4.4 16:17:31:484   leftController:(0.01, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:498   leftController:(0.01, 0.92, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:508   leftController:(0.01, 0.92, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:517   leftController:(0.02, 0.92, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:528   leftController:(0.02, 0.92, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:540   leftController:(0.02, 0.92, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:553   leftController:(0.02, 0.92, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:564   leftController:(0.02, 0.92, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:575   leftController:(0.02, 0.92, 0.38)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:588   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:600   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:613   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:622   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:631   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:642   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:655   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
