2021.4.4 15:20:21:713   leftController:(-0.40, 0.74, 0.35)  rightController:(-0.04, 0.77, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:725   leftController:(-0.40, 0.74, 0.35)  rightController:(-0.04, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:737   leftController:(-0.40, 0.74, 0.36)  rightController:(-0.04, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:749   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.04, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:760   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:773   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:791   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:802   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:810   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:820   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.37)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:832   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.37)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:842   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.37)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
