2021.4.13 11:13:51:475   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:482   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:493   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:504   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:515   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:526   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:545   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:552   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:561   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:573   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:586   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:593   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:604   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:615   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:645   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.18)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:652   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.18)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:657   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.18)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:662   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.18)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:672   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.18)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:683   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.18)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:694   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.18)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:705   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.18)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:716   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:728   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.02, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:742   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:749   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:762   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:773   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:783   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:795   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:806   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:829   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:840   leftController:(-0.15, 1.21, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
