2021.4.13 11:19:17:304   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.03, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:316   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.03, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:327   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(-0.03, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:338   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(-0.03, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:349   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.01, 0.01, 0.01)  rightControllerVel:(-0.04, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:360   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(-0.04, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:371   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.02, 0.00, 0.02)  rightControllerVel:(-0.04, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:383   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.02, -0.01, 0.02)  rightControllerVel:(-0.04, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:394   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.03, -0.01, 0.03)  rightControllerVel:(-0.04, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:418   leftController:(0.03, 1.19, -0.01)  rightController:(0.30, 1.20, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.05, -0.03, 0.04)  rightControllerVel:(-0.04, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
