2021.4.13 11:16:21:380   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(0.01, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:391   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(0.01, -0.02, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:403   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(0.01, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:419   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(0.00, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:427   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(0.00, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:437   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(0.00, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:448   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(0.00, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:458   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(0.00, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:469   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(-0.01, -0.01, 0.02)  rightControllerVel:(0.00, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:482   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(-0.01, -0.01, 0.02)  rightControllerVel:(0.00, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:492   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(-0.01, -0.02, 0.02)  rightControllerVel:(0.00, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:520   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.00, -0.02, 0.03)  rightControllerVel:(0.00, -0.05, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:531   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.01, -0.03, 0.03)  rightControllerVel:(0.00, -0.05, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:536   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.01, -0.03, 0.03)  rightControllerVel:(0.00, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:540   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.02, -0.02, 0.03)  rightControllerVel:(0.00, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:548   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.02, -0.02, 0.03)  rightControllerVel:(0.00, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:559   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.02, -0.02, 0.03)  rightControllerVel:(0.00, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:570   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.02, -0.02, 0.03)  rightControllerVel:(0.00, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:581   leftController:(-0.02, 1.19, 0.25)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.03, -0.02, 0.03)  rightControllerVel:(0.00, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:603   leftController:(-0.02, 1.19, 0.26)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.04, -0.02, 0.04)  rightControllerVel:(0.01, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:614   leftController:(-0.02, 1.19, 0.26)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.05, -0.02, 0.04)  rightControllerVel:(0.01, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:619   leftController:(-0.02, 1.19, 0.26)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.05, -0.02, 0.04)  rightControllerVel:(0.01, -0.08, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:626   leftController:(-0.02, 1.19, 0.26)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.05, -0.02, 0.04)  rightControllerVel:(0.02, -0.08, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:637   leftController:(-0.02, 1.19, 0.26)  rightController:(0.31, 1.21, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.06, -0.02, 0.04)  rightControllerVel:(0.02, -0.09, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:648   leftController:(-0.02, 1.19, 0.26)  rightController:(0.31, 1.21, 0.32)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.07, -0.02, 0.05)  rightControllerVel:(0.02, -0.09, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:659   leftController:(-0.02, 1.19, 0.26)  rightController:(0.31, 1.20, 0.32)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.00)  leftControllerVel:(0.07, -0.03, 0.05)  rightControllerVel:(0.02, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:671   leftController:(-0.02, 1.19, 0.26)  rightController:(0.31, 1.20, 0.32)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, 0.01)  leftControllerVel:(0.08, -0.03, 0.05)  rightControllerVel:(0.03, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:703   leftController:(-0.01, 1.19, 0.26)  rightController:(0.31, 1.20, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.09, -0.04, 0.06)  rightControllerVel:(0.03, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
