2021.4.17 16:31:06:765   leftController:(0.09, 1.08, 0.01)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.01, -0.03, 0.00)  rightControllerVel:(0.06, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:776   leftController:(0.09, 1.08, 0.01)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(0.06, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:786   leftController:(0.09, 1.08, 0.01)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(0.06, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:797   leftController:(0.09, 1.08, 0.01)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(0.05, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:809   leftController:(0.09, 1.08, 0.01)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(0.05, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:823   leftController:(0.09, 1.08, 0.01)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:831   leftController:(0.09, 1.08, 0.01)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.03, -0.02, 0.00)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:842   leftController:(0.09, 1.08, 0.01)  rightController:(-0.07, 1.11, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.03, -0.02, 0.00)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:854   leftController:(0.09, 1.07, 0.01)  rightController:(-0.07, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.03, -0.02, 0.00)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:865   leftController:(0.09, 1.07, 0.01)  rightController:(-0.07, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.03, -0.02, 0.00)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
