2021.4.17 16:03:36:551   leftController:(0.37, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.03, -0.03)  rightControllerVel:(0.02, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.17 16:03:36:574   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.03, -0.03)  rightControllerVel:(0.02, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:596   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.03, -0.03)  rightControllerVel:(0.02, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:618   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.03, -0.03)  rightControllerVel:(0.01, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.17 16:03:36:629   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.03, -0.02)  rightControllerVel:(0.01, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.17 16:03:36:640   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.03, -0.02)  rightControllerVel:(0.01, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:652   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.03, -0.02)  rightControllerVel:(0.01, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:663   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.03, -0.02)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:674   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.03, -0.02)  rightControllerVel:(0.00, -0.03, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:686   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.03, -0.02)  rightControllerVel:(0.00, -0.03, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:696   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.03, -0.02)  rightControllerVel:(0.00, -0.03, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
