2021.4.9 17:02:35:826   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.02, -0.03, -0.02)  rightControllerVel:(0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:850   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.02, -0.03, -0.03)  rightControllerVel:(0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:871   leftController:(0.23, 1.05, 0.32)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.03, -0.05, -0.03)  rightControllerVel:(0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:894   leftController:(0.23, 1.05, 0.32)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.03, -0.06, -0.04)  rightControllerVel:(0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:916   leftController:(0.23, 1.05, 0.32)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.03, -0.06, -0.04)  rightControllerVel:(0.04, 0.03, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:944   leftController:(0.23, 1.04, 0.32)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.02, -0.06, -0.04)  rightControllerVel:(0.05, 0.04, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:961   leftController:(0.23, 1.04, 0.32)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(-0.01, -0.06, -0.05)  rightControllerVel:(0.05, 0.04, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:984   leftController:(0.23, 1.04, 0.32)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.01, -0.05, -0.05)  rightControllerVel:(0.05, 0.04, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:05   leftController:(0.23, 1.04, 0.32)  rightController:(-0.15, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.02, -0.04, -0.05)  rightControllerVel:(0.06, 0.04, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:28   leftController:(0.23, 1.04, 0.32)  rightController:(-0.15, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.05, -0.04, -0.04)  rightControllerVel:(0.07, 0.04, 0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:50   leftController:(0.23, 1.04, 0.32)  rightController:(-0.15, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.09, -0.03, -0.04)  rightControllerVel:(0.07, 0.04, 0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:61   leftController:(0.23, 1.04, 0.32)  rightController:(-0.15, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.11, -0.03, -0.03)  rightControllerVel:(0.07, 0.03, 0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:73   leftController:(0.23, 1.04, 0.32)  rightController:(-0.15, 1.07, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.14, -0.03, -0.03)  rightControllerVel:(0.07, 0.03, 0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:92   leftController:(0.24, 1.04, 0.31)  rightController:(-0.15, 1.07, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.15, -0.02, -0.03)  rightControllerVel:(0.08, 0.03, 0.02)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:101   leftController:(0.24, 1.04, 0.31)  rightController:(-0.15, 1.07, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.16, -0.02, -0.03)  rightControllerVel:(0.08, 0.03, 0.02)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
