2021.4.9 16:59:53:341   leftController:(0.34, 0.97, 0.36)  rightController:(-0.06, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.17, 1.76, 0.17)  leftControllerVel:(-0.03, -0.08, -0.04)  rightControllerVel:(0.04, 0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.9 16:59:53:363   leftController:(0.34, 0.97, 0.36)  rightController:(-0.06, 1.00, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.17, 1.75, 0.17)  leftControllerVel:(-0.02, -0.04, -0.06)  rightControllerVel:(0.04, 0.04, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.9 16:59:53:387   leftController:(0.34, 0.97, 0.36)  rightController:(-0.06, 1.00, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.17, 1.75, 0.17)  leftControllerVel:(-0.01, -0.03, -0.06)  rightControllerVel:(0.04, 0.03, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.9 16:59:53:408   leftController:(0.34, 0.97, 0.36)  rightController:(-0.06, 1.00, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.17, 1.75, 0.17)  leftControllerVel:(0.00, -0.03, -0.06)  rightControllerVel:(0.05, 0.02, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.9 16:59:53:435   leftController:(0.34, 0.97, 0.36)  rightController:(-0.06, 1.00, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.17, 1.75, 0.18)  leftControllerVel:(0.01, -0.02, -0.07)  rightControllerVel:(0.06, 0.02, -0.01)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(-0.01, 0.02, 0.00)
2021.4.9 16:59:53:455   leftController:(0.34, 0.97, 0.36)  rightController:(-0.06, 1.00, 0.34)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.17, 1.75, 0.18)  leftControllerVel:(0.01, -0.01, -0.07)  rightControllerVel:(0.06, 0.01, -0.02)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.9 16:59:53:475   leftController:(0.34, 0.97, 0.35)  rightController:(-0.06, 1.00, 0.34)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.17, 1.75, 0.18)  leftControllerVel:(0.02, -0.01, -0.07)  rightControllerVel:(0.06, 0.01, -0.03)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.9 16:59:53:497   leftController:(0.34, 0.97, 0.35)  rightController:(-0.05, 1.00, 0.34)  leftTracker:(0.27, 0.22, 0.04)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.17, 1.75, 0.18)  leftControllerVel:(0.02, -0.02, -0.07)  rightControllerVel:(0.05, -0.01, -0.04)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.9 16:59:53:520   leftController:(0.34, 0.97, 0.35)  rightController:(-0.05, 1.00, 0.34)  leftTracker:(0.27, 0.22, 0.04)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.18)  leftControllerVel:(0.01, -0.02, -0.07)  rightControllerVel:(0.05, -0.02, -0.04)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:531   leftController:(0.34, 0.97, 0.35)  rightController:(-0.05, 1.00, 0.34)  leftTracker:(0.27, 0.22, 0.04)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.18)  leftControllerVel:(0.01, -0.03, -0.07)  rightControllerVel:(0.05, -0.03, -0.04)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:542   leftController:(0.34, 0.97, 0.35)  rightController:(-0.05, 1.00, 0.34)  leftTracker:(0.27, 0.22, 0.04)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.18)  leftControllerVel:(0.01, -0.03, -0.07)  rightControllerVel:(0.05, -0.04, -0.04)  leftTrackerVel:(0.00, 0.00, -0.03)  rightTrackerVel:(0.00, -0.01, -0.02)
2021.4.9 16:59:53:553   leftController:(0.34, 0.97, 0.35)  rightController:(-0.05, 1.00, 0.34)  leftTracker:(0.27, 0.22, 0.04)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.18)  leftControllerVel:(0.01, -0.03, -0.07)  rightControllerVel:(0.05, -0.04, -0.04)  leftTrackerVel:(0.00, 0.00, -0.03)  rightTrackerVel:(0.01, -0.01, -0.02)
2021.4.9 16:59:53:566   leftController:(0.34, 0.97, 0.35)  rightController:(-0.05, 1.00, 0.34)  leftTracker:(0.27, 0.22, 0.04)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.18)  leftControllerVel:(0.01, -0.03, -0.08)  rightControllerVel:(0.06, -0.04, -0.04)  leftTrackerVel:(0.00, -0.01, -0.03)  rightTrackerVel:(0.01, -0.01, -0.03)
2021.4.9 16:59:53:581   leftController:(0.34, 0.97, 0.35)  rightController:(-0.05, 0.99, 0.34)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.18)  leftControllerVel:(0.01, -0.02, -0.08)  rightControllerVel:(0.05, -0.04, -0.05)  leftTrackerVel:(0.00, -0.01, -0.03)  rightTrackerVel:(0.01, -0.01, -0.03)
2021.4.9 16:59:53:591   leftController:(0.34, 0.97, 0.35)  rightController:(-0.05, 0.99, 0.34)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.18)  leftControllerVel:(0.01, -0.01, -0.09)  rightControllerVel:(0.05, -0.04, -0.05)  leftTrackerVel:(0.00, -0.01, -0.03)  rightTrackerVel:(0.01, -0.01, -0.04)
2021.4.9 16:59:53:601   leftController:(0.34, 0.97, 0.34)  rightController:(-0.05, 0.99, 0.34)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.19)  leftControllerVel:(0.00, 0.00, -0.09)  rightControllerVel:(0.05, -0.04, -0.05)  leftTrackerVel:(0.00, -0.01, -0.03)  rightTrackerVel:(0.01, -0.01, -0.04)
2021.4.9 16:59:53:610   leftController:(0.34, 0.97, 0.34)  rightController:(-0.05, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.19)  leftControllerVel:(0.01, 0.01, -0.09)  rightControllerVel:(0.05, -0.04, -0.05)  leftTrackerVel:(0.00, -0.01, -0.03)  rightTrackerVel:(0.01, -0.01, -0.04)
2021.4.9 16:59:53:620   leftController:(0.34, 0.97, 0.34)  rightController:(-0.05, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.19)  leftControllerVel:(0.01, 0.02, -0.09)  rightControllerVel:(0.05, -0.03, -0.06)  leftTrackerVel:(0.00, -0.01, -0.03)  rightTrackerVel:(0.01, -0.01, -0.04)
2021.4.9 16:59:53:632   leftController:(0.34, 0.97, 0.34)  rightController:(-0.05, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.04)  headset:(0.16, 1.74, 0.19)  leftControllerVel:(0.01, 0.04, -0.09)  rightControllerVel:(0.05, -0.03, -0.06)  leftTrackerVel:(0.00, -0.01, -0.02)  rightTrackerVel:(0.01, -0.01, -0.04)
2021.4.9 16:59:53:647   leftController:(0.34, 0.97, 0.34)  rightController:(-0.05, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.74, 0.19)  leftControllerVel:(0.01, 0.05, -0.10)  rightControllerVel:(0.05, -0.03, -0.06)  leftTrackerVel:(0.00, -0.01, -0.02)  rightTrackerVel:(0.01, -0.01, -0.04)
2021.4.9 16:59:53:658   leftController:(0.34, 0.97, 0.34)  rightController:(-0.05, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.74, 0.19)  leftControllerVel:(0.01, 0.05, -0.09)  rightControllerVel:(0.06, -0.02, -0.06)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.01, -0.01, -0.04)
2021.4.9 16:59:53:667   leftController:(0.34, 0.97, 0.34)  rightController:(-0.05, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.74, 0.19)  leftControllerVel:(0.02, 0.04, -0.08)  rightControllerVel:(0.06, -0.01, -0.06)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.01, 0.00, -0.04)
2021.4.9 16:59:53:676   leftController:(0.34, 0.97, 0.34)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.74, 0.19)  leftControllerVel:(0.02, 0.04, -0.08)  rightControllerVel:(0.07, -0.01, -0.06)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.01, 0.00, -0.04)
2021.4.9 16:59:53:687   leftController:(0.34, 0.97, 0.34)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.19)  leftControllerVel:(0.01, 0.03, -0.07)  rightControllerVel:(0.08, -0.01, -0.06)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.04)
2021.4.9 16:59:53:698   leftController:(0.34, 0.97, 0.34)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.19)  leftControllerVel:(0.02, 0.02, -0.07)  rightControllerVel:(0.08, 0.00, -0.05)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.04)
2021.4.9 16:59:53:709   leftController:(0.34, 0.97, 0.34)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.19)  leftControllerVel:(0.02, 0.00, -0.07)  rightControllerVel:(0.09, 0.00, -0.05)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.03)
2021.4.9 16:59:53:721   leftController:(0.34, 0.97, 0.33)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.19)  leftControllerVel:(0.02, -0.01, -0.06)  rightControllerVel:(0.09, 0.01, -0.06)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.03)
2021.4.9 16:59:53:742   leftController:(0.34, 0.97, 0.33)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.19)  leftControllerVel:(0.01, -0.03, -0.06)  rightControllerVel:(0.09, 0.01, -0.05)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:753   leftController:(0.34, 0.97, 0.33)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.19)  leftControllerVel:(0.00, -0.03, -0.05)  rightControllerVel:(0.08, 0.01, -0.05)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:762   leftController:(0.34, 0.97, 0.33)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.19)  leftControllerVel:(-0.01, -0.03, -0.05)  rightControllerVel:(0.08, 0.01, -0.05)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:771   leftController:(0.34, 0.97, 0.33)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.19)  leftControllerVel:(-0.01, -0.03, -0.04)  rightControllerVel:(0.08, 0.02, -0.05)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:780   leftController:(0.34, 0.97, 0.33)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.19)  leftControllerVel:(-0.02, -0.02, -0.04)  rightControllerVel:(0.07, 0.02, -0.05)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:788   leftController:(0.34, 0.97, 0.33)  rightController:(-0.04, 0.99, 0.33)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.20)  leftControllerVel:(-0.03, -0.01, -0.04)  rightControllerVel:(0.07, 0.02, -0.05)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:798   leftController:(0.34, 0.97, 0.33)  rightController:(-0.03, 0.99, 0.32)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.20)  leftControllerVel:(-0.03, 0.00, -0.04)  rightControllerVel:(0.07, 0.01, -0.05)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:810   leftController:(0.34, 0.97, 0.33)  rightController:(-0.03, 0.99, 0.32)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.20)  leftControllerVel:(-0.03, 0.02, -0.04)  rightControllerVel:(0.07, 0.01, -0.05)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.9 16:59:53:822   leftController:(0.34, 0.97, 0.33)  rightController:(-0.03, 0.99, 0.32)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.20)  leftControllerVel:(-0.03, 0.04, -0.03)  rightControllerVel:(0.07, 0.01, -0.04)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.9 16:59:53:837   leftController:(0.34, 0.97, 0.33)  rightController:(-0.03, 0.99, 0.32)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.20)  leftControllerVel:(-0.03, 0.06, -0.02)  rightControllerVel:(0.07, 0.02, -0.04)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.9 16:59:53:847   leftController:(0.34, 0.97, 0.33)  rightController:(-0.03, 0.99, 0.32)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.20)  leftControllerVel:(-0.03, 0.08, -0.02)  rightControllerVel:(0.06, 0.03, -0.04)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.9 16:59:53:857   leftController:(0.34, 0.97, 0.33)  rightController:(-0.03, 0.99, 0.32)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.20)  leftControllerVel:(-0.03, 0.09, -0.01)  rightControllerVel:(0.06, 0.04, -0.04)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.9 16:59:53:866   leftController:(0.34, 0.97, 0.33)  rightController:(-0.03, 1.00, 0.32)  leftTracker:(0.27, 0.22, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.73, 0.20)  leftControllerVel:(-0.03, 0.10, 0.00)  rightControllerVel:(0.06, 0.04, -0.03)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, -0.01)
