2021.4.9 16:36:29:938   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.04, -0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:959   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:981   leftController:(0.07, 1.15, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.01, -0.03, -0.01)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:09   leftController:(0.07, 1.14, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.01, -0.03, -0.01)  rightControllerVel:(0.03, 0.01, 0.02)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:26   leftController:(0.07, 1.14, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.01, -0.03, -0.01)  rightControllerVel:(0.03, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:48   leftController:(0.07, 1.14, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.03, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:70   leftController:(0.07, 1.14, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.36)  leftControllerVel:(0.02, -0.02, -0.01)  rightControllerVel:(0.03, 0.02, 0.01)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:93   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.36)  leftControllerVel:(0.02, -0.02, -0.01)  rightControllerVel:(0.03, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:116   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.36)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(0.03, 0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:141   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:156   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:165   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:174   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:183   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
