2021.4.9 16:33:38:403   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:430   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:448   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:470   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:492   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:514   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:537   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.02, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:548   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.05, -0.05, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:559   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.21, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.07, -0.07, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:577   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.21, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, -0.01, -0.01)  rightControllerVel:(0.11, -0.12, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:588   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.21, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(0.13, -0.15, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:596   leftController:(0.11, 1.08, 0.28)  rightController:(-0.02, 1.21, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(0.14, -0.16, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:604   leftController:(0.11, 1.08, 0.28)  rightController:(-0.02, 1.21, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, -0.02, 0.00)  rightControllerVel:(0.14, -0.17, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:614   leftController:(0.11, 1.07, 0.28)  rightController:(-0.02, 1.21, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, -0.03, 0.00)  rightControllerVel:(0.13, -0.18, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:625   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.20, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, -0.03, 0.00)  rightControllerVel:(0.11, -0.18, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
