2021.4.15 19:47:56:301   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:323   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:346   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:369   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:390   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:413   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:435   leftController:(0.31, 1.25, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:446   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:457   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:469   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:479   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:491   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
