2021.4.15 19:50:53:889   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.04, -0.01)  rightControllerVel:(0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:901   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.04, -0.01)  rightControllerVel:(0.03, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:913   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.05, -0.01)  rightControllerVel:(0.03, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:50:53:928   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.06, -0.01)  rightControllerVel:(0.03, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:50:53:936   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.06, -0.01)  rightControllerVel:(0.03, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.15 19:50:53:947   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.07, -0.01)  rightControllerVel:(0.03, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.15 19:50:53:957   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.04, -0.08, -0.01)  rightControllerVel:(0.03, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.15 19:50:53:968   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.04, -0.08, -0.01)  rightControllerVel:(0.02, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.02, 0.01)
2021.4.15 19:50:53:979   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.04, -0.09, 0.00)  rightControllerVel:(0.02, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.15 19:50:53:991   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.04, -0.09, 0.00)  rightControllerVel:(0.02, 0.04, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.01)
