2021.4.15 19:48:24:761   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.15 19:48:24:773   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.15 19:48:24:783   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.15 19:48:24:794   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.01, -0.04, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:805   leftController:(0.34, 1.25, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:817   leftController:(0.34, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:830   leftController:(0.34, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.15 19:48:24:840   leftController:(0.34, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:850   leftController:(0.34, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:862   leftController:(0.34, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:873   leftController:(0.34, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:884   leftController:(0.33, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.02, -0.04, 0.00)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:895   leftController:(0.33, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.03, -0.04, 0.00)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
