2021.4.11 19:05:40:348   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:358   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:369   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:385   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:394   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:402   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:414   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:425   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:436   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.02, -0.01, 0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:452   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.03, -0.02, 0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
