2021.4.11 16:07:05:557   leftController:(0.07, 1.32, -0.41)  rightController:(0.30, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.39, -0.45)  leftControllerVel:(0.05, 0.03, 0.03)  rightControllerVel:(0.05, -0.09, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:579   leftController:(0.07, 1.32, -0.41)  rightController:(0.30, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.39, -0.45)  leftControllerVel:(0.05, 0.03, 0.03)  rightControllerVel:(0.05, -0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:601   leftController:(0.07, 1.32, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.39, -0.45)  leftControllerVel:(0.05, 0.02, 0.02)  rightControllerVel:(0.05, -0.06, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.11 16:07:05:623   leftController:(0.07, 1.32, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.05, 0.02, 0.02)  rightControllerVel:(0.05, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:646   leftController:(0.07, 1.32, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.06, 0.02, 0.01)  rightControllerVel:(0.06, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:656   leftController:(0.07, 1.32, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.06, 0.03, 0.01)  rightControllerVel:(0.06, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:668   leftController:(0.07, 1.32, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.06, 0.03, 0.01)  rightControllerVel:(0.05, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:679   leftController:(0.07, 1.32, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.03, 0.00)  rightControllerVel:(0.05, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:690   leftController:(0.07, 1.32, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.03, 0.00)  rightControllerVel:(0.05, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:702   leftController:(0.07, 1.33, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.02, 0.00)  rightControllerVel:(0.05, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:714   leftController:(0.07, 1.33, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.02, -0.01)  rightControllerVel:(0.05, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:724   leftController:(0.08, 1.33, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.02, -0.01)  rightControllerVel:(0.05, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:736   leftController:(0.08, 1.33, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.02, -0.01)  rightControllerVel:(0.05, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.11 16:07:05:746   leftController:(0.08, 1.33, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.02, -0.02)  rightControllerVel:(0.04, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
