2021.4.11 19:30:04:258   leftController:(0.45, 1.19, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(-0.10, -0.34, 0.00)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:280   leftController:(0.44, 1.19, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.36, 1.59, -0.08)  leftControllerVel:(-0.13, -0.32, 0.00)  rightControllerVel:(0.00, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:04:303   leftController:(0.44, 1.18, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.37, 1.59, -0.08)  leftControllerVel:(-0.17, -0.30, 0.00)  rightControllerVel:(-0.02, -0.02, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 19:30:04:330   leftController:(0.43, 1.17, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.37, 1.59, -0.08)  leftControllerVel:(-0.21, -0.26, 0.00)  rightControllerVel:(-0.04, -0.02, -0.05)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(-0.01, -0.01, 0.01)
2021.4.11 19:30:04:347   leftController:(0.43, 1.17, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.37, 1.59, -0.08)  leftControllerVel:(-0.23, -0.25, 0.00)  rightControllerVel:(-0.05, -0.03, -0.06)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(-0.01, -0.01, 0.01)
2021.4.11 19:30:04:370   leftController:(0.42, 1.16, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.37, 1.59, -0.08)  leftControllerVel:(-0.25, -0.24, 0.00)  rightControllerVel:(-0.07, -0.04, -0.07)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, -0.01, 0.02)
2021.4.11 19:30:04:392   leftController:(0.42, 1.16, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.37, 1.59, -0.08)  leftControllerVel:(-0.26, -0.23, 0.00)  rightControllerVel:(-0.09, -0.04, -0.07)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, -0.01, 0.02)
2021.4.11 19:30:04:414   leftController:(0.41, 1.15, 0.19)  rightController:(0.23, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.37, 1.59, -0.08)  leftControllerVel:(-0.26, -0.23, 0.00)  rightControllerVel:(-0.11, -0.04, -0.07)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, -0.01, 0.02)
2021.4.11 19:30:04:436   leftController:(0.41, 1.15, 0.19)  rightController:(0.23, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.08)  leftControllerVel:(-0.23, -0.23, 0.02)  rightControllerVel:(-0.13, -0.04, -0.07)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, -0.01, 0.01)
2021.4.11 19:30:04:447   leftController:(0.41, 1.14, 0.19)  rightController:(0.23, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.08)  leftControllerVel:(-0.22, -0.22, 0.03)  rightControllerVel:(-0.13, -0.04, -0.06)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, -0.01, 0.01)
2021.4.11 19:30:04:459   leftController:(0.40, 1.14, 0.19)  rightController:(0.23, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(-0.19, -0.20, 0.05)  rightControllerVel:(-0.13, -0.03, -0.06)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, -0.01, 0.01)
2021.4.11 19:30:04:476   leftController:(0.40, 1.14, 0.19)  rightController:(0.23, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(-0.15, -0.16, 0.09)  rightControllerVel:(-0.14, -0.02, -0.06)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:488   leftController:(0.40, 1.14, 0.19)  rightController:(0.22, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(-0.11, -0.14, 0.11)  rightControllerVel:(-0.14, -0.01, -0.05)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:498   leftController:(0.40, 1.14, 0.19)  rightController:(0.22, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(-0.08, -0.11, 0.13)  rightControllerVel:(-0.14, 0.00, -0.04)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:510   leftController:(0.40, 1.14, 0.20)  rightController:(0.22, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(-0.03, -0.06, 0.14)  rightControllerVel:(-0.14, 0.02, -0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:519   leftController:(0.40, 1.14, 0.20)  rightController:(0.22, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(0.00, -0.02, 0.14)  rightControllerVel:(-0.14, 0.05, -0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:528   leftController:(0.40, 1.14, 0.20)  rightController:(0.22, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(0.02, 0.01, 0.14)  rightControllerVel:(-0.13, 0.07, -0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:537   leftController:(0.40, 1.14, 0.20)  rightController:(0.22, 1.08, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(0.03, 0.03, 0.15)  rightControllerVel:(-0.13, 0.10, -0.01)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:548   leftController:(0.40, 1.14, 0.20)  rightController:(0.22, 1.08, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(0.04, 0.06, 0.16)  rightControllerVel:(-0.13, 0.18, 0.01)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.00)
2021.4.11 19:30:04:560   leftController:(0.40, 1.14, 0.20)  rightController:(0.21, 1.08, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(0.03, 0.07, 0.17)  rightControllerVel:(-0.15, 0.25, 0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.00)
2021.4.11 19:30:04:571   leftController:(0.40, 1.14, 0.21)  rightController:(0.21, 1.08, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(0.04, 0.09, 0.18)  rightControllerVel:(-0.17, 0.32, 0.04)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.11 19:30:04:581   leftController:(0.40, 1.14, 0.21)  rightController:(0.21, 1.09, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.07)  leftControllerVel:(0.05, 0.10, 0.19)  rightControllerVel:(-0.19, 0.37, 0.04)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.11 19:30:04:593   leftController:(0.40, 1.14, 0.21)  rightController:(0.21, 1.09, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.06, 0.11, 0.19)  rightControllerVel:(-0.20, 0.44, 0.05)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.11 19:30:04:604   leftController:(0.40, 1.14, 0.21)  rightController:(0.21, 1.10, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.07, 0.12, 0.19)  rightControllerVel:(-0.19, 0.47, 0.05)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.01)
