2021.4.11 20:05:00:426   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.00, -0.10, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:437   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.01, -0.03, 0.00)  rightControllerVel:(0.00, -0.10, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:452   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(-0.01, -0.09, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:462   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(-0.01, -0.08, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:471   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(-0.01, -0.08, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:480   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(-0.01, -0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:491   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.26, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.02, -0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:504   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.25, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.02, -0.06, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:515   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.25, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.02, -0.06, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:525   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.25, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.02, -0.05, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:536   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.25, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(-0.01, -0.05, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:554   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.25, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(-0.02, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:564   leftController:(0.28, 1.19, 0.02)  rightController:(-0.11, 1.25, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(-0.02, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:575   leftController:(0.28, 1.19, 0.02)  rightController:(-0.12, 1.25, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(-0.02, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:588   leftController:(0.28, 1.19, 0.02)  rightController:(-0.12, 1.25, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.02, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:599   leftController:(0.28, 1.19, 0.02)  rightController:(-0.12, 1.25, 0.02)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.02, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:05:00:612   leftController:(0.28, 1.19, 0.02)  rightController:(-0.12, 1.25, 0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.70, -0.23)  leftControllerVel:(-0.02, 0.01, 0.00)  rightControllerVel:(-0.02, -0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
