2021.4.11 20:02:23:238   leftController:(0.36, 1.16, 0.20)  rightController:(0.13, 1.31, 0.15)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.01, -0.02, -0.01)  rightControllerVel:(-0.22, -0.13, 0.40)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:256   leftController:(0.36, 1.15, 0.20)  rightController:(0.13, 1.31, 0.16)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(-0.24, -0.19, 0.46)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:277   leftController:(0.36, 1.15, 0.20)  rightController:(0.12, 1.31, 0.17)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(-0.32, -0.26, 0.48)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:299   leftController:(0.36, 1.15, 0.20)  rightController:(0.11, 1.30, 0.18)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(-0.39, -0.31, 0.47)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:321   leftController:(0.36, 1.15, 0.20)  rightController:(0.10, 1.29, 0.19)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.44, -0.39, 0.45)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:344   leftController:(0.36, 1.15, 0.20)  rightController:(0.09, 1.28, 0.20)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.43, -0.49, 0.43)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:356   leftController:(0.36, 1.15, 0.20)  rightController:(0.09, 1.27, 0.21)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.42, -0.53, 0.42)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:367   leftController:(0.36, 1.15, 0.20)  rightController:(0.08, 1.27, 0.21)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.40, -0.58, 0.41)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:382   leftController:(0.36, 1.15, 0.20)  rightController:(0.08, 1.26, 0.22)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.35, -0.64, 0.39)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:390   leftController:(0.36, 1.15, 0.20)  rightController:(0.08, 1.25, 0.22)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.34, -0.67, 0.37)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
