2021.4.11 19:27:34:721   leftController:(0.41, 1.21, 0.22)  rightController:(0.16, 1.26, 0.22)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.29, -0.11, -0.09)  rightControllerVel:(-0.14, 0.06, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:729   leftController:(0.42, 1.21, 0.22)  rightController:(0.16, 1.26, 0.22)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.31, -0.08, -0.08)  rightControllerVel:(-0.18, 0.10, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:739   leftController:(0.42, 1.21, 0.22)  rightController:(0.16, 1.26, 0.22)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(0.32, -0.03, -0.08)  rightControllerVel:(-0.21, 0.14, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:750   leftController:(0.42, 1.21, 0.22)  rightController:(0.15, 1.27, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.35, 0.02, -0.07)  rightControllerVel:(-0.26, 0.21, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:762   leftController:(0.43, 1.22, 0.22)  rightController:(0.15, 1.27, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.37, 0.11, -0.08)  rightControllerVel:(-0.31, 0.27, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:775   leftController:(0.43, 1.22, 0.21)  rightController:(0.15, 1.28, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.39, 0.20, -0.09)  rightControllerVel:(-0.36, 0.35, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:787   leftController:(0.44, 1.22, 0.21)  rightController:(0.14, 1.28, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.38, 0.28, -0.09)  rightControllerVel:(-0.39, 0.40, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:795   leftController:(0.44, 1.23, 0.21)  rightController:(0.14, 1.28, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.37, 0.33, -0.10)  rightControllerVel:(-0.41, 0.42, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:806   leftController:(0.44, 1.23, 0.21)  rightController:(0.13, 1.29, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.32, 0.39, -0.11)  rightControllerVel:(-0.43, 0.46, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:818   leftController:(0.45, 1.23, 0.21)  rightController:(0.13, 1.29, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.30, 0.41, -0.12)  rightControllerVel:(-0.44, 0.48, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:829   leftController:(0.45, 1.24, 0.21)  rightController:(0.12, 1.30, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.27, 0.43, -0.12)  rightControllerVel:(-0.44, 0.48, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:840   leftController:(0.45, 1.24, 0.21)  rightController:(0.12, 1.30, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.25, 0.43, -0.12)  rightControllerVel:(-0.44, 0.47, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:27:34:859   leftController:(0.46, 1.25, 0.20)  rightController:(0.11, 1.31, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.19, 0.41, -0.13)  rightControllerVel:(-0.42, 0.43, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
