2021.4.11 19:06:30:588   leftController:(0.27, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.03, -0.04, 0.01)  rightControllerVel:(0.00, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:611   leftController:(0.27, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.03, -0.02, 0.01)  rightControllerVel:(-0.01, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:634   leftController:(0.28, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(-0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:660   leftController:(0.28, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:678   leftController:(0.28, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:700   leftController:(0.28, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:723   leftController:(0.28, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, 0.01)  rightControllerVel:(-0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:745   leftController:(0.28, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(-0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:770   leftController:(0.28, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(-0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:779   leftController:(0.28, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
