2021.4.11 10:23:46:464   leftController:(-0.04, 1.20, 0.08)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.71, -0.17)  leftControllerVel:(-0.04, 0.18, -0.08)  rightControllerVel:(-0.04, 0.07, -0.02)  leftTrackerVel:(0.01, 0.00, -0.05)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:477   leftController:(-0.04, 1.21, 0.07)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.71, -0.17)  leftControllerVel:(-0.03, 0.21, -0.09)  rightControllerVel:(-0.04, 0.07, -0.01)  leftTrackerVel:(0.01, 0.00, -0.06)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:486   leftController:(-0.04, 1.21, 0.07)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.71, -0.17)  leftControllerVel:(-0.03, 0.22, -0.09)  rightControllerVel:(-0.04, 0.08, -0.01)  leftTrackerVel:(0.01, 0.00, -0.06)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 10:23:46:498   leftController:(-0.04, 1.21, 0.07)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.71, -0.17)  leftControllerVel:(-0.03, 0.24, -0.10)  rightControllerVel:(-0.04, 0.08, -0.01)  leftTrackerVel:(0.02, -0.01, -0.06)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:509   leftController:(-0.05, 1.21, 0.07)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.71, -0.17)  leftControllerVel:(-0.04, 0.25, -0.11)  rightControllerVel:(-0.05, 0.08, 0.00)  leftTrackerVel:(0.03, -0.01, -0.07)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:520   leftController:(-0.05, 1.22, 0.07)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.71, -0.16)  leftControllerVel:(-0.06, 0.27, -0.12)  rightControllerVel:(-0.05, 0.08, 0.00)  leftTrackerVel:(0.04, 0.00, -0.08)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:531   leftController:(-0.05, 1.22, 0.07)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.71, -0.16)  leftControllerVel:(-0.08, 0.29, -0.13)  rightControllerVel:(-0.07, 0.09, 0.00)  leftTrackerVel:(0.05, 0.00, -0.09)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:542   leftController:(-0.05, 1.22, 0.07)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.09, 0.31, -0.15)  rightControllerVel:(-0.08, 0.11, -0.01)  leftTrackerVel:(0.05, 0.00, -0.09)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:554   leftController:(-0.05, 1.23, 0.06)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.10, 0.34, -0.17)  rightControllerVel:(-0.10, 0.15, -0.03)  leftTrackerVel:(0.06, 0.00, -0.10)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:564   leftController:(-0.05, 1.23, 0.06)  rightController:(0.17, 1.14, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.12, 0.37, -0.19)  rightControllerVel:(-0.12, 0.18, -0.03)  leftTrackerVel:(0.07, 0.00, -0.10)  rightTrackerVel:(-0.01, 0.00, 0.00)
