2021.4.11 20:07:30:223   leftController:(0.35, 1.24, -0.07)  rightController:(-0.03, 1.20, -0.05)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(-0.04, 0.42, -0.51)  rightControllerVel:(-0.07, 0.74, -0.42)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, -0.01)
2021.4.11 20:07:30:245   leftController:(0.35, 1.25, -0.08)  rightController:(-0.03, 1.22, -0.06)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(-0.16, 0.29, -0.39)  rightControllerVel:(0.00, 0.62, -0.39)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, -0.01)
2021.4.11 20:07:30:267   leftController:(0.34, 1.25, -0.09)  rightController:(-0.03, 1.23, -0.07)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.27)  leftControllerVel:(-0.21, 0.17, -0.26)  rightControllerVel:(0.06, 0.48, -0.30)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.11 20:07:30:296   leftController:(0.33, 1.25, -0.09)  rightController:(-0.02, 1.24, -0.08)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.27)  leftControllerVel:(-0.17, 0.04, -0.07)  rightControllerVel:(0.09, 0.25, -0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.11 20:07:30:312   leftController:(0.33, 1.25, -0.09)  rightController:(-0.02, 1.24, -0.07)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.27)  leftControllerVel:(-0.11, -0.01, 0.00)  rightControllerVel:(0.10, 0.12, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.01, 0.00)
2021.4.11 20:07:30:334   leftController:(0.33, 1.25, -0.09)  rightController:(-0.02, 1.24, -0.07)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.27)  leftControllerVel:(-0.06, -0.07, 0.08)  rightControllerVel:(0.08, -0.03, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.11 20:07:30:359   leftController:(0.33, 1.25, -0.09)  rightController:(-0.02, 1.23, -0.07)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.26)  leftControllerVel:(-0.05, -0.14, 0.14)  rightControllerVel:(0.05, -0.15, 0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 20:07:30:379   leftController:(0.33, 1.25, -0.08)  rightController:(-0.02, 1.23, -0.06)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.26)  leftControllerVel:(-0.04, -0.17, 0.18)  rightControllerVel:(0.03, -0.18, 0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 20:07:30:402   leftController:(0.33, 1.24, -0.08)  rightController:(-0.02, 1.23, -0.06)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.26)  leftControllerVel:(-0.05, -0.21, 0.17)  rightControllerVel:(0.00, -0.20, 0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:412   leftController:(0.33, 1.24, -0.08)  rightController:(-0.02, 1.22, -0.06)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.26)  leftControllerVel:(-0.07, -0.21, 0.17)  rightControllerVel:(-0.01, -0.20, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
