2021.4.14 11:12:35:280   leftController:(0.52, 1.25, 0.27)  rightController:(0.36, 1.16, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.02, 0.01, 0.01)  rightControllerVel:(-0.02, 0.06, 0.05)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:290   leftController:(0.52, 1.25, 0.27)  rightController:(0.36, 1.16, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.03, 0.06, 0.06)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:301   leftController:(0.52, 1.25, 0.27)  rightController:(0.36, 1.16, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(-0.03, 0.06, 0.06)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:312   leftController:(0.52, 1.25, 0.27)  rightController:(0.35, 1.16, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.01, 0.00, 0.02)  rightControllerVel:(-0.04, 0.06, 0.06)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:323   leftController:(0.52, 1.25, 0.27)  rightController:(0.35, 1.16, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.03, 0.00, 0.02)  rightControllerVel:(-0.04, 0.07, 0.07)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:335   leftController:(0.52, 1.25, 0.27)  rightController:(0.35, 1.16, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.04, 0.00, 0.03)  rightControllerVel:(-0.05, 0.08, 0.07)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:346   leftController:(0.52, 1.25, 0.27)  rightController:(0.35, 1.16, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.05, 0.00, 0.03)  rightControllerVel:(-0.06, 0.09, 0.08)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:357   leftController:(0.53, 1.25, 0.27)  rightController:(0.35, 1.17, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.06, 0.00, 0.03)  rightControllerVel:(-0.07, 0.11, 0.09)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:369   leftController:(0.53, 1.25, 0.27)  rightController:(0.35, 1.17, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.06, 0.01, 0.03)  rightControllerVel:(-0.07, 0.13, 0.10)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:379   leftController:(0.53, 1.25, 0.27)  rightController:(0.35, 1.17, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.07, 0.01, 0.03)  rightControllerVel:(-0.08, 0.14, 0.10)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:390   leftController:(0.53, 1.25, 0.27)  rightController:(0.35, 1.17, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.07, 0.02, 0.03)  rightControllerVel:(-0.09, 0.16, 0.11)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:401   leftController:(0.53, 1.25, 0.27)  rightController:(0.35, 1.17, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.07, 0.02, 0.03)  rightControllerVel:(-0.10, 0.18, 0.11)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:413   leftController:(0.53, 1.25, 0.27)  rightController:(0.35, 1.17, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.07, 0.02, 0.03)  rightControllerVel:(-0.11, 0.20, 0.12)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:425   leftController:(0.53, 1.25, 0.27)  rightController:(0.35, 1.18, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.08, 0.02, 0.03)  rightControllerVel:(-0.12, 0.21, 0.13)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:435   leftController:(0.53, 1.25, 0.27)  rightController:(0.34, 1.18, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.09, 0.03, 0.03)  rightControllerVel:(-0.12, 0.22, 0.13)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:446   leftController:(0.53, 1.25, 0.27)  rightController:(0.34, 1.18, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.09, 0.03, 0.03)  rightControllerVel:(-0.13, 0.24, 0.14)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:458   leftController:(0.53, 1.25, 0.27)  rightController:(0.34, 1.19, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.10, 0.03, 0.03)  rightControllerVel:(-0.14, 0.25, 0.14)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:471   leftController:(0.53, 1.25, 0.27)  rightController:(0.34, 1.19, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.11, 0.03, 0.03)  rightControllerVel:(-0.15, 0.27, 0.15)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:479   leftController:(0.54, 1.25, 0.27)  rightController:(0.34, 1.19, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.11, 0.04, 0.03)  rightControllerVel:(-0.16, 0.28, 0.15)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:35:491   leftController:(0.54, 1.25, 0.27)  rightController:(0.34, 1.19, 0.26)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.83, 0.07)  leftControllerVel:(0.11, 0.04, 0.03)  rightControllerVel:(-0.17, 0.30, 0.15)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
