2021.4.10 11:22:29:68   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.21, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.02, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.10 11:22:29:76   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.21, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.02, -0.11, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.10 11:22:29:89   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.21, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.01, -0.13, 0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.10 11:22:29:101   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.20, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.01, -0.14, 0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:110   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.20, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(-0.01, -0.14, 0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:121   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.20, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(0.00, -0.15, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:132   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.20, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(0.00, -0.16, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:146   leftController:(0.26, 0.72, -0.54)  rightController:(0.57, 1.20, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(0.01, -0.17, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:156   leftController:(0.26, 0.72, -0.54)  rightController:(0.57, 1.19, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.02)  rightControllerVel:(0.01, -0.18, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:166   leftController:(0.26, 0.72, -0.54)  rightController:(0.57, 1.19, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(0.01, -0.19, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
