2021.4.10 19:13:04:924   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:947   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:973   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:992   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(-0.02, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:05:14   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:05:36   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.10, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:05:58   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.10, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.57, -0.79)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:05:82   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.10, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.57, -0.79)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:05:103   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.10, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.57, -0.79)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:05:130   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.10, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.57, -0.79)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
